Code	D_code	ast	usedate	Valid	WHO	Code_w	d_code_w	Prim	Headline	Text	Tehty	ic9_cm	icd9_cm2	Text_2	SSKParentDgKods	SSKGrupa	Vai ieklaut	Teh pievienosana	Upper level idx	Laiks
C44.5										Rumpja ada					C44	Melanoma un citi laundabigi adas audzeji		X	X	
C44.6										Augsejas ektremitates ada,ieskaitot plecu					C44	Melanoma un citi laundabigi adas audzeji		X	X	
C44.7										Apaksejas ekstremitates ada,ieskaitot guzu					C44	Melanoma un citi laundabigi adas audzeji		X	X	
C44.8										Adas plass audu bojajums					C44	Melanoma un citi laundabigi adas audzeji		X	X	
C44.9										Adas laundabigs audzejs,neprecizets					C44	Melanoma un citi laundabigi adas audzeji		X	X	
C45										Mezotelioma					NULL	Mezotelialo un miksto audu laundabigi audzeji	X	X		
C45.0										Pleiras mezotelioma					C45	Mezotelialo un miksto audu laundabigi audzeji		X	X	
C45.1										Vederpleves mezotelioma					C45	Mezotelialo un miksto audu laundabigi audzeji		X	X	
C45.2										Perikarda mezotelioma					C45	Mezotelialo un miksto audu laundabigi audzeji		X	X	
C45.7										Citu lokalizaciju mezotelioma					C45	Mezotelialo un miksto audu laundabigi audzeji		X	X	
C45.9										Mezotelioma,neprecizeta					C45	Mezotelialo un miksto audu laundabigi audzeji		X	X	
C46										Kaposi sarkoma					NULL	Mezotelialo un miksto audu laundabigi audzeji	X	X		
C46.0										Adas Kaposi sarkoma					C46	Mezotelialo un miksto audu laundabigi audzeji		X	X	
C46.1										Miksto audu Kaposi sarkoma					C46	Mezotelialo un miksto audu laundabigi audzeji		X	X	
C46.2										Auksleju Kaposi sarkoma					C46	Mezotelialo un miksto audu laundabigi audzeji		X	X	
C46.3										Limfmezglu Kaposi sarkoma					C46	Mezotelialo un miksto audu laundabigi audzeji		X	X	
C46.7										Citu lokalizaciju Kaposi sarkoma					C46	Mezotelialo un miksto audu laundabigi audzeji		X	X	
C46.8										Multiplu organu Kaposi sarkoma					C46	Mezotelialo un miksto audu laundabigi audzeji		X	X	
C46.9										Kaposi sarkoma,neprecizeta					C46	Mezotelialo un miksto audu laundabigi audzeji		X	X	
C47										Periferisko nervu un vegetativas (autonomas) nervu sist.laund.audzeji					NULL	Mezotelialo un miksto audu laundabigi audzeji	X	X		
C47.0										Galvas,sejas un kakla periferiskie nervi					C47	Mezotelialo un miksto audu laundabigi audzeji		X	X	
C47.1										Ausejas ekstremitates,ieskaitot plecu,periferiskie nervi					C47	Mezotelialo un miksto audu laundabigi audzeji		X	X	
C47.2										Apaksejas ekstremitates,ieskaitot guzu,periferiskie nervi					C47	Mezotelialo un miksto audu laundabigi audzeji		X	X	
C47.3										Kruskurvja periferiskie nervi					C47	Mezotelialo un miksto audu laundabigi audzeji		X	X	
C47.4										Vedera periferiskie nervi					C47	Mezotelialo un miksto audu laundabigi audzeji		X	X	
C47.5										Iegurna periferiskie nervi					C47	Mezotelialo un miksto audu laundabigi audzeji		X	X	
C47.6										Rumpja periferiskie nervi,neprecizeti					C47	Mezotelialo un miksto audu laundabigi audzeji		X	X	
C47.8										Periferisko nervu un vegetativas nervu sistemas izplatijies audzejs					C47	Mezotelialo un miksto audu laundabigi audzeji		X	X	
C47.9										Periferiskie nervi un vegetativa nervu sistema,neprecizeti					C47	Mezotelialo un miksto audu laundabigi audzeji		X	X	
C48										Retroperitonealo audu un vederpleves laundabigs audzejs					NULL	Mezotelialo un miksto audu laundabigi audzeji	X	X		
C48.0										Retroperitonealie audi (retroperitoneum, aizvederpleve)					C48	Mezotelialo un miksto audu laundabigi audzeji		X	X	
C48.1										Vederpleves precizetas dalas					C48	Mezotelialo un miksto audu laundabigi audzeji		X	X	
C48.2										Vederpleve,neprecizeta					C48	Mezotelialo un miksto audu laundabigi audzeji		X	X	
C48.8										Retroperitonealo audu un vederpleves plass audzejs					C48	Mezotelialo un miksto audu laundabigi audzeji		X	X	
C49										Parejo saistaudu un miksto audu laundabigi audzeji					NULL	Mezotelialo un miksto audu laundabigi audzeji	X	X		
C49.0										Galvas,sejas un kakla saistaudi un mikstie audi					C49	Mezotelialo un miksto audu laundabigi audzeji		X	X	
C49.1										Augsejas ekstremitates,ieskaitot plecu,saistaudi un mikstie audi					C49	Mezotelialo un miksto audu laundabigi audzeji		X	X	
C49.2										Apaksejas ektremitates,ieskaitot guzu,saistaudi un mikstie audi					C49	Mezotelialo un miksto audu laundabigi audzeji		X	X	
C49.3										Kruskurvja saistaudi un mikstie audi					C49	Mezotelialo un miksto audu laundabigi audzeji		X	X	
C49.4										Vedera saistaudi un mikstie audi					C49	Mezotelialo un miksto audu laundabigi audzeji		X	X	
C49.5										Iegurna saistaudi un mikstie audi					C49	Mezotelialo un miksto audu laundabigi audzeji		X	X	
C49.6										Rumpja saistaudi un mikstie audi,neprecizeti					C49	Mezotelialo un miksto audu laundabigi audzeji		X	X	
C49.8										Saistaudu un miksto audu plass audzejs					C49	Mezotelialo un miksto audu laundabigi audzeji		X	X	
C49.9										Saistaudi un mikstie audi,neprecizeti					C49	Mezotelialo un miksto audu laundabigi audzeji		X	X	
C50										Kruts laundabigs audzejs					NULL	Kruts laundabigs audzejs	X	X		
C50.0										Krutsgals un kruts zirnisa josla (areola)					C50	Kruts laundabigs audzejs		X	X	
C50.1										Kruts centrala dala					C50	Kruts laundabigs audzejs		X	X	
C50.2										Kruts augsejais ieksejais kvadrants					C50	Kruts laundabigs audzejs		X	X	
C50.3										Kruts apaksejais ieksejais kvadrants					C50	Kruts laundabigs audzejs		X	X	
C50.4										Kruts augsejais arejais kvadrants					C50	Kruts laundabigs audzejs		X	X	
C50.5										Kruts apaksejais arejais kvadrants					C50	Kruts laundabigs audzejs		X	X	
C50.6										Kruts paduses dala					C50	Kruts laundabigs audzejs		X	X	
C50.8										Kruts plass audzejs					C50	Kruts laundabigs audzejs		X	X	
C50.9										Kruts audzejs, neprecizets					C50	Kruts laundabigs audzejs		X	X	
C51										Sieviesu arejo dzimumorganu (vulva) laundabigi audzeji					NULL	Sieviesu dzimumorganu laundabigi audzeji	X	X		
C51.0										Kaunuma liela lupa					C51	Sieviesu dzimumorganu laundabigi audzeji		X	X	
C51.1										Kaunuma maza lupa					C51	Sieviesu dzimumorganu laundabigi audzeji		X	X	
C51.2										Kuteklis					C51	Sieviesu dzimumorganu laundabigi audzeji		X	X	
C51.8										Arejo dzimumorganu plass audzejs					C51	Sieviesu dzimumorganu laundabigi audzeji		X	X	
C51.9										Arejie dzimumorgani, neprecizeti					C51	Sieviesu dzimumorganu laundabigi audzeji		X	X	
C52										Maksts laundabigs audzejs					NULL	Sieviesu dzimumorganu laundabigi audzeji	X	X		
C53										Dzemdes kakla laundabigs audzejs					NULL	Sieviesu dzimumorganu laundabigi audzeji	X	X		
C53.0										Endocervix					C53	Sieviesu dzimumorganu laundabigi audzeji		X	X	
C53.1										Exocervix					C53	Sieviesu dzimumorganu laundabigi audzeji		X	X	
C53.8										Dzemdes kakla plass audzejs					C53	Sieviesu dzimumorganu laundabigi audzeji		X	X	
C53.9										Dzemdes kakls,bez precizejuma					C53	Sieviesu dzimumorganu laundabigi audzeji		X	X	
C54										Dzemdes kermena laundabigs audzejs					NULL	Sieviesu dzimumorganu laundabigi audzeji	X	X		
C54.0										Dzemdes sasaurinajums (isthmus uteri)					C54	Sieviesu dzimumorganu laundabigi audzeji		X	X	
C54.1										Endometrijs					C54	Sieviesu dzimumorganu laundabigi audzeji		X	X	
C54.2										Miometrijs					C54	Sieviesu dzimumorganu laundabigi audzeji		X	X	
C54.3										Dzemdes dibens (fundus uteri)					C54	Sieviesu dzimumorganu laundabigi audzeji		X	X	
C54.8										Dzemdes kermena plass audzejs					C54	Sieviesu dzimumorganu laundabigi audzeji		X	X	
C54.9										Dzemdes kermenis,bez precizejuma					C54	Sieviesu dzimumorganu laundabigi audzeji		X	X	
C55										Dzemdes  laundabigs audzejs, dala neprecizeta					NULL	Sieviesu dzimumorganu laundabigi audzeji	X	X		
C56										Olnicu laundabigs audzejs					NULL	Sieviesu dzimumorganu laundabigi audzeji	X	X		
C57										Citu un neprecizetu sieviesu dzimumorganu laundabigi audzeji					NULL	Sieviesu dzimumorganu laundabigi audzeji	X	X		
C57.0										Olvads (tuba uterina)					C57	Sieviesu dzimumorganu laundabigi audzeji		X	X	
C57.1										Dzemdes plata saite					C57	Sieviesu dzimumorganu laundabigi audzeji		X	X	
C57.2										Dzemdes apala saite					C57	Sieviesu dzimumorganu laundabigi audzeji		X	X	
C57.3										Parametrijs					C57	Sieviesu dzimumorganu laundabigi audzeji		X	X	
C57.4										Dzemdes piedekli,neprecizeti					C57	Sieviesu dzimumorganu laundabigi audzeji		X	X	
C57.7										Citi precizeti sieviesu dzimumorgani					C57	Sieviesu dzimumorganu laundabigi audzeji		X	X	
C57.8										Sieviesu dzimumorganu plass audzejs					C57	Sieviesu dzimumorganu laundabigi audzeji		X	X	
C57.9										Sieviesu dzimumorgani,neprecizeti					C57	Sieviesu dzimumorganu laundabigi audzeji		X	X	
C58										Placentas laundabigs audzejs					NULL	Sieviesu dzimumorganu laundabigi audzeji	X	X		
C60										Dzimumlocekla laundabigs audzejs					NULL	Viriesu dzimumorganu laundabigi audzeji 	X	X		
C60.0										Prieksada (preputium)					C60	Viriesu dzimumorganu laundabigi audzeji 		X	X	
C60.1										Dzimumlocekla galvina (glans penis)					C60	Viriesu dzimumorganu laundabigi audzeji 		X	X	
C60.2										Dzimumlocekla kermenis					C60	Viriesu dzimumorganu laundabigi audzeji 		X	X	
C60.8										Dzimumlocekla plass audzejs					C60	Viriesu dzimumorganu laundabigi audzeji 		X	X	
C60.9										Dzimumloceklis,bez precizejuma					C60	Viriesu dzimumorganu laundabigi audzeji 		X	X	
C61										Prostatas laundabigs audzejs					NULL	Viriesu dzimumorganu laundabigi audzeji 	X	X		
C62										Seklinieka laundabigs audzejs					NULL	Viriesu dzimumorganu laundabigi audzeji 	X	X		
C62.0										Nenoslidejis seklinieks					C62	Viriesu dzimumorganu laundabigi audzeji 		X	X	
C62.1										Noslidejis seklinieks					C62	Viriesu dzimumorganu laundabigi audzeji 		X	X	
C62.9										Seklinieks,bez precizejuma					C62	Viriesu dzimumorganu laundabigi audzeji 		X	X	
C63										Citu un neprecizetu viriesu dzimumorganu laundabigs audzejs					NULL	Viriesu dzimumorganu laundabigi audzeji 	X	X		
C63.0										Seklinieka piedeklis (epididymis)					C63	Viriesu dzimumorganu laundabigi audzeji 		X	X	
C63.1										Seklvads					C63	Viriesu dzimumorganu laundabigi audzeji 		X	X	
C63.2										Seklinieka maisins (scrotum)					C63	Viriesu dzimumorganu laundabigi audzeji 		X	X	
C63.7										Citi precizeti viriesu dzimumorgani					C63	Viriesu dzimumorganu laundabigi audzeji 		X	X	
C63.8										Viriesu dzimumorganu plass audzejs					C63	Viriesu dzimumorganu laundabigi audzeji 		X	X	
C63.9										Viriesu dzimumorgani,neprecizeti					C63	Viriesu dzimumorganu laundabigi audzeji 		X	X	
C64										Nieres laundabigs audzejs,atskaitot nieres blodinu					NULL	Urinizvadorganu laundabigi audzeji	X	X		
C65										Nieres blodinas laundabigs audzejs					NULL	Urinizvadorganu laundabigi audzeji	X	X		
C66										Urinvada laundabigs audzejs					NULL	Urinizvadorganu laundabigi audzeji	X	X		
C67										Urinpusla laundabigs audzejs					NULL	Urinizvadorganu laundabigi audzeji	X	X		
C67.0										Urinpusla trijsturis					C67	Urinizvadorganu laundabigi audzeji		X	X	
C67.1										Urinpusla velve (fundus vesicae urinariae)					C67	Urinizvadorganu laundabigi audzeji		X	X	
C67.2										Urinpusla laterala siena					C67	Urinizvadorganu laundabigi audzeji		X	X	
C67.3										Urinpusla priekseja siena					C67	Urinizvadorganu laundabigi audzeji		X	X	
C67.4										Urinpusla mugureja siena					C67	Urinizvadorganu laundabigi audzeji		X	X	
C67.5										Urinpusla kakls					C67	Urinizvadorganu laundabigi audzeji		X	X	
C67.6										Urinvada atvere					C67	Urinizvadorganu laundabigi audzeji		X	X	
C67.7										Pirmejais urinvads (urachus)					C67	Urinizvadorganu laundabigi audzeji		X	X	
C67.8										Urinpusla plass audzejs					C67	Urinizvadorganu laundabigi audzeji		X	X	
C67.9										Urinpuslis, bez precizejuma					C67	Urinizvadorganu laundabigi audzeji		X	X	
C68										Citu un neprecizetu urinizvadorganu laundabigs audzejs					NULL	Urinizvadorganu laundabigi audzeji	X	X		
C68.0										Urinizvadkanals					C68	Urinizvadorganu laundabigi audzeji		X	X	
C68.1										Parauretralie dziedzeri					C68	Urinizvadorganu laundabigi audzeji		X	X	
C68.8										Urinizvadorganu plass audzejs					C68	Urinizvadorganu laundabigi audzeji		X	X	
C68.9										Urinizvadorgani,neprecizeti					C68	Urinizvadorganu laundabigi audzeji		X	X	
C69										Acs un acs paligorganu laundabigs audzejs					NULL	Acs, smadzenu un citu centralas nervu sistemas dalu laundabigi audzeji	X	X		
C69.0										Saistene (konjunktiva)					C69	Acs, smadzenu un citu centralas nervu sistemas dalu laundabigi audzeji		X	X	
C69.1										Radzene					C69	Acs, smadzenu un citu centralas nervu sistemas dalu laundabigi audzeji		X	X	
C69.2										Tiklene					C69	Acs, smadzenu un citu centralas nervu sistemas dalu laundabigi audzeji		X	X	
C69.3										Dzislene					C69	Acs, smadzenu un citu centralas nervu sistemas dalu laundabigi audzeji		X	X	
C69.4										Starene					C69	Acs, smadzenu un citu centralas nervu sistemas dalu laundabigi audzeji		X	X	
C69.5										Asaru dziedzeris un kanalins					C69	Acs, smadzenu un citu centralas nervu sistemas dalu laundabigi audzeji		X	X	
C69.6										Acsdobums (orbita)					C69	Acs, smadzenu un citu centralas nervu sistemas dalu laundabigi audzeji		X	X	
C69.8										Acs un acs paligorganu plass audzejs					C69	Acs, smadzenu un citu centralas nervu sistemas dalu laundabigi audzeji		X	X	
C69.9										Acs,bez precizejuma					C69	Acs, smadzenu un citu centralas nervu sistemas dalu laundabigi audzeji		X	X	
C70										Smadzenu apvalku laundabigs audzejs					NULL	Acs, smadzenu un citu centralas nervu sistemas dalu laundabigi audzeji	X	X		
C70.0										Galvas smadzenu apvalki					C70	Acs, smadzenu un citu centralas nervu sistemas dalu laundabigi audzeji		X	X	
C70.1										Muguras smadzenu apvalki					C70	Acs, smadzenu un citu centralas nervu sistemas dalu laundabigi audzeji		X	X	
C70.9										Smadzenu apvalki,neprecizeti					C70	Acs, smadzenu un citu centralas nervu sistemas dalu laundabigi audzeji		X	X	
C71										Smadzenu laundabigs audzejs					NULL	Acs, smadzenu un citu centralas nervu sistemas dalu laundabigi audzeji	X	X		
C71.0										Smadzenes,neskaitot daivas un ventrikulus					C71	Acs, smadzenu un citu centralas nervu sistemas dalu laundabigi audzeji		X	X	
C71.1										Pieres daiva					C71	Acs, smadzenu un citu centralas nervu sistemas dalu laundabigi audzeji		X	X	
C71.2										Deninu daiva					C71	Acs, smadzenu un citu centralas nervu sistemas dalu laundabigi audzeji		X	X	
C71.3										Paura daiva					C71	Acs, smadzenu un citu centralas nervu sistemas dalu laundabigi audzeji		X	X	
C71.4										Pakausa daiva					C71	Acs, smadzenu un citu centralas nervu sistemas dalu laundabigi audzeji		X	X	
C71.5										Smadzenu ventrikuli					C71	Acs, smadzenu un citu centralas nervu sistemas dalu laundabigi audzeji		X	X	
C71.6										Smadzenites					C71	Acs, smadzenu un citu centralas nervu sistemas dalu laundabigi audzeji		X	X	
C71.7										Smadzenu stumbrs					C71	Acs, smadzenu un citu centralas nervu sistemas dalu laundabigi audzeji		X	X	
C71.8										Smadzenu plass audzejs					C71	Acs, smadzenu un citu centralas nervu sistemas dalu laundabigi audzeji		X	X	
C71.9										Smadzenes,neprecizetas					C71	Acs, smadzenu un citu centralas nervu sistemas dalu laundabigi audzeji		X	X	
C72										Muguras smadzenu, kranialo nervu u.c.centr.nervu sist.dalu laund.audz.					NULL	Acs, smadzenu un citu centralas nervu sistemas dalu laundabigi audzeji	X	X		
C72.0										Muguras smadzenes					C72	Acs, smadzenu un citu centralas nervu sistemas dalu laundabigi audzeji		X	X	
C72.1										Zirga aste (cauda equina)					C72	Acs, smadzenu un citu centralas nervu sistemas dalu laundabigi audzeji		X	X	
C72.2										Ozas nervs					C72	Acs, smadzenu un citu centralas nervu sistemas dalu laundabigi audzeji		X	X	
C72.3										Redzes nervs					C72	Acs, smadzenu un citu centralas nervu sistemas dalu laundabigi audzeji		X	X	
C72.4										Dzirdes nervs					C72	Acs, smadzenu un citu centralas nervu sistemas dalu laundabigi audzeji		X	X	
C72.5										Citi un neprecizeti kranialie nervi					C72	Acs, smadzenu un citu centralas nervu sistemas dalu laundabigi audzeji		X	X	
C72.8										Smadzenu un citu centralas nervu sistemas dalu plass audzejs					C72	Acs, smadzenu un citu centralas nervu sistemas dalu laundabigi audzeji		X	X	
C72.9										Centrala nervu sistema, neprecizeta					C72	Acs, smadzenu un citu centralas nervu sistemas dalu laundabigi audzeji		X	X	
C73										Vairogdziedzera laundabigs audzejs					NULL	Vairogdziedzera un citu endokrino dziedzeru laundabigi audzeji	X	X		
C74										Virsnieru laundabigs audzejs					NULL	Vairogdziedzera un citu endokrino dziedzeru laundabigi audzeji	X	X		
C74.0										Virsnieru garoza					C74	Vairogdziedzera un citu endokrino dziedzeru laundabigi audzeji		X	X	
C74.1										Virsnieru serde					C74	Vairogdziedzera un citu endokrino dziedzeru laundabigi audzeji		X	X	
C74.9										Virsniere,bez precizejuma					C74	Vairogdziedzera un citu endokrino dziedzeru laundabigi audzeji		X	X	
C75										Parejo endokrino dziedzeru un radniecigu strukturu laundabigi audzeji					NULL	Vairogdziedzera un citu endokrino dziedzeru laundabigi audzeji	X	X		
C75.0										Epitelijkermenisi					C75	Vairogdziedzera un citu endokrino dziedzeru laundabigi audzeji		X	X	
C75.1										Hipofize					C75	Vairogdziedzera un citu endokrino dziedzeru laundabigi audzeji		X	X	
C75.2										Kraniofaringealais kanals					C75	Vairogdziedzera un citu endokrino dziedzeru laundabigi audzeji		X	X	
C75.3										Epifize					C75	Vairogdziedzera un citu endokrino dziedzeru laundabigi audzeji		X	X	
C75.4										Miegarterijas mezgls (glomus carotidus)					C75	Vairogdziedzera un citu endokrino dziedzeru laundabigi audzeji		X	X	
C75.5										Aortas blakuskermenisi un citi paragangliji					C75	Vairogdziedzera un citu endokrino dziedzeru laundabigi audzeji		X	X	
C75.8										Pluriglandulars bojajums, neprecizets					C75	Vairogdziedzera un citu endokrino dziedzeru laundabigi audzeji		X	X	
C75.9										Ieksejas sekrecijas dziedzeris,neprecizets					C75	Vairogdziedzera un citu endokrino dziedzeru laundabigi audzeji		X	X	
C76										Citas un neprecizi apzimetas lokalizacijas laundabigi audzeji					NULL	Neprecizi apzimeti, sekundari un nelokalizeti laundabigi audzeji	X	X		
C76.0										Galva,seja un kakls					C76	Neprecizi apzimeti, sekundari un nelokalizeti laundabigi audzeji		X	X	
C76.1										Kruskurvis					C76	Neprecizi apzimeti, sekundari un nelokalizeti laundabigi audzeji		X	X	
C76.2										Veders					C76	Neprecizi apzimeti, sekundari un nelokalizeti laundabigi audzeji		X	X	
C76.3										Iegurnis					C76	Neprecizi apzimeti, sekundari un nelokalizeti laundabigi audzeji		X	X	
C76.4										Augseja ekstremitate					C76	Neprecizi apzimeti, sekundari un nelokalizeti laundabigi audzeji		X	X	
C76.5										Apakseja ekstremitate					C76	Neprecizi apzimeti, sekundari un nelokalizeti laundabigi audzeji		X	X	
C76.7										Citas neprecizi definetas lokalizacijas					C76	Neprecizi apzimeti, sekundari un nelokalizeti laundabigi audzeji		X	X	
C76.8										Citu un neprecizu lokalizaciju plass audzejs					C76	Neprecizi apzimeti, sekundari un nelokalizeti laundabigi audzeji		X	X	
C77										Sekundars un neprecizets limfmezglu laundabigs audzejs					NULL	Neprecizi apzimeti, sekundari un nelokalizeti laundabigi audzeji	X	X		
C77.0										Galvas,sejas un kakla limfmezgli					C77	Neprecizi apzimeti, sekundari un nelokalizeti laundabigi audzeji		X	X	
C77.1										Intratorakalie limfmezgli					C77	Neprecizi apzimeti, sekundari un nelokalizeti laundabigi audzeji		X	X	
C77.2										Intraabdominalie limfmezgli					C77	Neprecizi apzimeti, sekundari un nelokalizeti laundabigi audzeji		X	X	
C77.3										Paduses un augsejas ekstremitates limfmezgli					C77	Neprecizi apzimeti, sekundari un nelokalizeti laundabigi audzeji		X	X	
C77.4										Cirksna un apaksejas ektremitates limfmezgli					C77	Neprecizi apzimeti, sekundari un nelokalizeti laundabigi audzeji		X	X	
C77.5										Iegurna limfmezgli					C77	Neprecizi apzimeti, sekundari un nelokalizeti laundabigi audzeji		X	X	
C77.8										Vairaku apvidu limfmezgli					C77	Neprecizi apzimeti, sekundari un nelokalizeti laundabigi audzeji		X	X	
C77.9										Limfmezgls,neprecizets					C77	Neprecizi apzimeti, sekundari un nelokalizeti laundabigi audzeji		X	X	
C78										Sekundars elposanas un gremosanas organu laundabigs audzejs					NULL	Neprecizi apzimeti, sekundari un nelokalizeti laundabigi audzeji	X	X		
C78.0										Sekundars plausu  laundabigs audzejs					C78	Neprecizi apzimeti, sekundari un nelokalizeti laundabigi audzeji		X	X	
C78.1										Sekundars videnes laundabigs audzejs					C78	Neprecizi apzimeti, sekundari un nelokalizeti laundabigi audzeji		X	X	
C78.2										Sekundars pleiras laundabigs audzejs					C78	Neprecizi apzimeti, sekundari un nelokalizeti laundabigi audzeji		X	X	
C78.3										Sekundars citu un neprecizetu elposanas organu laundabigs audzejs					C78	Neprecizi apzimeti, sekundari un nelokalizeti laundabigi audzeji		X	X	
C78.4										Sekundars tievas zarnas laundabigs audzejs					C78	Neprecizi apzimeti, sekundari un nelokalizeti laundabigi audzeji		X	X	
C78.5										Sekundars resnas un taisnas zarnas laundabigs audzejs					C78	Neprecizi apzimeti, sekundari un nelokalizeti laundabigi audzeji		X	X	
C78.6										Sekundars retroperitonealo audu un vederpleves laundabigs audzejs					C78	Neprecizi apzimeti, sekundari un nelokalizeti laundabigi audzeji		X	X	
C78.7										Sekundars aknu laundabigs audzejs					C78	Neprecizi apzimeti, sekundari un nelokalizeti laundabigi audzeji		X	X	
C78.8										Sekundars citu un neprecizetu gremosanas organu laundabigs audzejs					C78	Neprecizi apzimeti, sekundari un nelokalizeti laundabigi audzeji		X	X	
C79										Sekundars citu lokalizaciju laundabigs audzejs					NULL	Neprecizi apzimeti, sekundari un nelokalizeti laundabigi audzeji	X	X		
C79.0										Sekundars nieru un nieru blodinu laundabigs audzejs					C79	Neprecizi apzimeti, sekundari un nelokalizeti laundabigi audzeji		X	X	
C79.1										Sekundars urinpusla u.c.neprecizetu urinizvadorganu laund.audzejs					C79	Neprecizi apzimeti, sekundari un nelokalizeti laundabigi audzeji		X	X	
C79.2										Sekundars adas laundabigs audzejs					C79	Neprecizi apzimeti, sekundari un nelokalizeti laundabigi audzeji		X	X	
C79.3										Sekundars smadzenu un smadzenu apvalku laundabigs audzejs					C79	Neprecizi apzimeti, sekundari un nelokalizeti laundabigi audzeji		X	X	
C79.4										Sekundars citu un neprecizetu nervu sist.dalu laundabigs audzejs					C79	Neprecizi apzimeti, sekundari un nelokalizeti laundabigi audzeji		X	X	
C79.5										Sekundars kaula un kaula smadzenu laundabigs audzejs					C79	Neprecizi apzimeti, sekundari un nelokalizeti laundabigi audzeji		X	X	
C79.6										Sekundars olnicu laundabigs audzejs					C79	Neprecizi apzimeti, sekundari un nelokalizeti laundabigi audzeji		X	X	
C79.7										Sekundars virsnieru laundabigs audzejs					C79	Neprecizi apzimeti, sekundari un nelokalizeti laundabigi audzeji		X	X	
C79.8										Sekundars citu precizetu lokalizaciju laundabigs audzejs					C79	Neprecizi apzimeti, sekundari un nelokalizeti laundabigi audzeji		X	X	
C80										Laundabigs audzejs,bez norades par lokalizaciju					NULL	Neprecizi apzimeti, sekundari un nelokalizeti laundabigi audzeji	X	X		
C81										Hodzkina slimiba					NULL	Limfoido, asinsrades un radniecigu audu laundabigi audzeji	X	X		
C81.0										Limfocitarais variants					C81	Limfoido, asinsrades un radniecigu audu laundabigi audzeji		X	X	
C81.1										Nodulara skleroze					C81	Limfoido, asinsrades un radniecigu audu laundabigi audzeji		X	X	
C81.2										Jaukto sunu variants					C81	Limfoido, asinsrades un radniecigu audu laundabigi audzeji		X	X	
C81.3										Limfocitaro audu izsiksanas variants					C81	Limfoido, asinsrades un radniecigu audu laundabigi audzeji		X	X	
C81.7										Citi Hodzkina slimibas veidi					C81	Limfoido, asinsrades un radniecigu audu laundabigi audzeji		X	X	
C81.9										Hodzkina slimiba,neprecizeta					C81	Limfoido, asinsrades un radniecigu audu laundabigi audzeji		X	X	
C82										Folikulara [nodulara] ne Hodzkina limfoma					NULL	Limfoido, asinsrades un radniecigu audu laundabigi audzeji	X	X		
C82.0										Mazo skeltsunu, folikulara					C82	Limfoido, asinsrades un radniecigu audu laundabigi audzeji		X	X	
C82.1										Jaukta mazo skeltsunu un lielo sunu, folikulara					C82	Limfoido, asinsrades un radniecigu audu laundabigi audzeji		X	X	
C82.2										Lielo sunu,folikulara					C82	Limfoido, asinsrades un radniecigu audu laundabigi audzeji		X	X	
C82.7										Citi folikularas ne Hodzkina limfomas tipi					C82	Limfoido, asinsrades un radniecigu audu laundabigi audzeji		X	X	
C82.9										Folikulara ne Hodzkina limfoma,neprecizeta					C82	Limfoido, asinsrades un radniecigu audu laundabigi audzeji		X	X	
C83										Difuza ne Hodzkina limfoma					NULL	Limfoido, asinsrades un radniecigu audu laundabigi audzeji	X	X		
C83.0										Mazo sunu (difuza)					C83	Limfoido, asinsrades un radniecigu audu laundabigi audzeji		X	X	
C83.1										Mazo skeltsunu (difuza)					C83	Limfoido, asinsrades un radniecigu audu laundabigi audzeji		X	X	
C83.2										Jaukta mazo un lielo sunu (difuza)					C83	Limfoido, asinsrades un radniecigu audu laundabigi audzeji		X	X	
C83.3										Lielo sunu (difuza)					C83	Limfoido, asinsrades un radniecigu audu laundabigi audzeji		X	X	
C83.4										Imunoblastu sunu (difuza)					C83	Limfoido, asinsrades un radniecigu audu laundabigi audzeji		X	X	
C83.5										Limfoblastu sunu (difuza)					C83	Limfoido, asinsrades un radniecigu audu laundabigi audzeji		X	X	
C83.6										Nediferencetu sunu (difuza)					C83	Limfoido, asinsrades un radniecigu audu laundabigi audzeji		X	X	
C83.7										Berkita (Burkitt) audzejs					C83	Limfoido, asinsrades un radniecigu audu laundabigi audzeji		X	X	
C83.8										Citi difuzi ne Hodzkina limfomas veidi					C83	Limfoido, asinsrades un radniecigu audu laundabigi audzeji		X	X	
C83.9										Neprecizeta difuza ne Hodzkina limfoma					C83	Limfoido, asinsrades un radniecigu audu laundabigi audzeji		X	X	
C84										Periferisko un adas T sunu limfomas					NULL	Limfoido, asinsrades un radniecigu audu laundabigi audzeji	X	X		
C84.0										Fungoida mikoze (mycosis fungoides)					C84	Limfoido, asinsrades un radniecigu audu laundabigi audzeji		X	X	
C84.1										Sezari (Sezary) slimiba					C84	Limfoido, asinsrades un radniecigu audu laundabigi audzeji		X	X	
C84.2										T sunu limfoma					C84	Limfoido, asinsrades un radniecigu audu laundabigi audzeji		X	X	
C84.3										Limfoepitelioida limfoma					C84	Limfoido, asinsrades un radniecigu audu laundabigi audzeji		X	X	
C84.4										Periferisko T sunu limfoma					C84	Limfoido, asinsrades un radniecigu audu laundabigi audzeji		X	X	
C84.5										T sunu limfoma, cita un neprecizeta					C84	Limfoido, asinsrades un radniecigu audu laundabigi audzeji		X	X	
C85										Citi un neprecizeti ne Hodzkina limfomas veidi					NULL	Limfoido, asinsrades un radniecigu audu laundabigi audzeji	X	X		
C85.0										Limfosarkoma					C85	Limfoido, asinsrades un radniecigu audu laundabigi audzeji		X	X	
