KOD;TEXT;HÄNDELSE
W1280;Fall på och från byggnadsställning-andra områden-idrott;0
W1281;Fall på och från byggnadsställning-andra områden-lek,fritid;0
W1282;Fall på och från byggnadsställning-andra områden-förvärvsarbete;0
W1283;Fall på och från byggnadsställning-andra områden-annan sysselsättning;0
W1284;Fall på och från byggnadsställning-andra områden-vitalaktivitet;0
W1288;Fall på och från byggnadsställning-andra områden-andra aktiviteter;0
W1289;Fall på och från byggnadsställning-andra områden-ospec aktiviteter;0
V1290;Cyklist skadad i kollision med två- eller trehjuligt motorfordon, cyklist, icke specificerad, skadad i trafikolycka-idrott;0
W1290;Fall på och från byggnadsställning-ospec område-idrott;0
V1291;Cyklist skadad i kollision med två- eller trehjuligt motorfordon, cyklist, icke specificerad, skadad i trafikolycka-lek,fritid;0
W1291;Fall på och från byggnadsställning-ospec område-lek,fritid;0
V1292;Cyklist skadad i kollision med två- eller trehjuligt motorfordon, cyklist, icke specificerad, skadad i trafikolycka-förvärvsarbete;0
W1292;Fall på och från byggnadsställning-ospec område-förvärvsarbete;0
V1293;Cyklist skadad i kollision med två- eller trehjuligt motorfordon, cyklist, icke specificerad, skadad i trafikolycka-annan sysselsättning;0
W1293;Fall på och från byggnadsställning-ospec område-annan sysselsättning;0
V1294;Cyklist skadad i kollision med två- eller trehjuligt motorfordon, cyklist, icke specificerad, skadad i trafikolycka-vitalaktivitet;0
W1294;Fall på och från byggnadsställning-ospec område-vitalaktivitet;0
V1298;Cyklist skadad i kollision med två- eller trehjuligt motorfordon, cyklist, icke specificerad, skadad i trafikolycka-andra aktiviteter;0
W1298;Fall på och från byggnadsställning-ospec område-andra aktiviteter;0
V1299;Cyklist skadad i kollision med två- eller trehjuligt motorfordon, cyklist, icke specificerad, skadad i trafikolycka-ospec aktiviteter;0
W1299;Fall på och från byggnadsställning-ospec område-ospec aktiviteter;0
V1300;Cyklist skadad i kollision med personbil eller lätt lastbil, förare av cykel skadad i olycka, ej trafik-idrott;0
W1300;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-bostad-idrott;0
V1301;Cyklist skadad i kollision med personbil eller lätt lastbil, förare av cykel skadad i olycka, ej trafik-lek,fritid;0
W1301;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-bostad-lek,fritid;0
V1302;Cyklist skadad i kollision med personbil eller lätt lastbil, förare av cykel skadad i olycka, ej trafik-förvärvsarbete;0
W1302;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-bostad-förvärvsarbete;0
V1303;Cyklist skadad i kollision med personbil eller lätt lastbil, förare av cykel skadad i olycka, ej trafik-annan sysselsättning;0
W1303;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-bostad-annan sysselsättning;0
V1304;Cyklist skadad i kollision med personbil eller lätt lastbil, förare av cykel skadad i olycka, ej trafik-vitalaktivitet;0
W1304;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-bostad-vitalaktivitet;0
V1308;Cyklist skadad i kollision med personbil eller lätt lastbil, förare av cykel skadad i olycka, ej trafik-andra aktiviteter;0
W1308;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-bostad-andra aktiviteter;0
V1309;Cyklist skadad i kollision med personbil eller lätt lastbil, förare av cykel skadad i olycka, ej trafik-ospec aktiviteter;0
W1309;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-bostad-ospec aktiviteter;0
V1310;Cyklist skadad i kollision med personbil eller lätt lastbil, passagerare på cykel skadad i olycka, ej trafik-idrott;0
W1310;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-institutionellt boende-idrott;0
V1311;Cyklist skadad i kollision med personbil eller lätt lastbil, passagerare på cykel skadad i olycka, ej trafik-lek,fritid;0
W1311;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-institutionellt boende-lek,fritid;0
V1312;Cyklist skadad i kollision med personbil eller lätt lastbil, passagerare på cykel skadad i olycka, ej trafik-förvärvsarbete;0
W1312;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-institutionellt boende-förvärvsarbete;0
V1313;Cyklist skadad i kollision med personbil eller lätt lastbil, passagerare på cykel skadad i olycka, ej trafik-annan sysselsättning;0
W1313;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-institutionellt boende-annan sysselsättning;0
V1314;Cyklist skadad i kollision med personbil eller lätt lastbil, passagerare på cykel skadad i olycka, ej trafik-vitalaktivitet;0
W1314;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-institutionellt boende-vitalaktivitet;0
V1318;Cyklist skadad i kollision med personbil eller lätt lastbil, passagerare på cykel skadad i olycka, ej trafik-andra aktiviteter;0
W1318;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-institutionellt boende-andra aktiviteter;0
V1319;Cyklist skadad i kollision med personbil eller lätt lastbil, passagerare på cykel skadad i olycka, ej trafik-ospec aktiviteter;0
W1319;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-institutionellt boende-ospec aktiviteter;0
V1320;Cyklist skadad i kollision med personbil eller lätt lastbil, cyklist, icke specificerad, skadad i olycka, ej trafik-idrott;0
W1320;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-skola, offentlig lokal-idrott;0
V1321;Cyklist skadad i kollision med personbil eller lätt lastbil, cyklist, icke specificerad, skadad i olycka, ej trafik-lek,fritid;0
W1321;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-skola, offentlig lokal-lek,fritid;0
V1322;Cyklist skadad i kollision med personbil eller lätt lastbil, cyklist, icke specificerad, skadad i olycka, ej trafik-förvärvsarbete;0
W1322;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-skola, offentlig lokal-förvärvsarbete;0
V1323;Cyklist skadad i kollision med personbil eller lätt lastbil, cyklist, icke specificerad, skadad i olycka, ej trafik-annan sysselsättning;0
W1323;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-skola, offentlig lokal-annan sysselsättning;0
V1324;Cyklist skadad i kollision med personbil eller lätt lastbil, cyklist, icke specificerad, skadad i olycka, ej trafik-vitalaktivitet;0
W1324;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-skola, offentlig lokal-vitalaktivitet;0
V1328;Cyklist skadad i kollision med personbil eller lätt lastbil, cyklist, icke specificerad, skadad i olycka, ej trafik-andra aktiviteter;0
W1328;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-skola, offentlig lokal-andra aktiviteter;0
V1329;Cyklist skadad i kollision med personbil eller lätt lastbil, cyklist, icke specificerad, skadad i olycka, ej trafik-ospec aktiviteter;0
W1329;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-skola, offentlig lokal-ospec aktiviteter;0
V1330;Cyklist skadad i kollision med personbil eller lätt lastbil, person skadad vid av- och påstigning av cykel-idrott;0
W1330;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-idrottsanläggning-idrott;0
V1331;Cyklist skadad i kollision med personbil eller lätt lastbil, person skadad vid av- och påstigning av cykel-lek,fritid;0
W1331;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-idrottsanläggning-lek,fritid;0
V1332;Cyklist skadad i kollision med personbil eller lätt lastbil, person skadad vid av- och påstigning av cykel-förvärvsarbete;0
W1332;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-idrottsanläggning-förvärvsarbete;0
V1333;Cyklist skadad i kollision med personbil eller lätt lastbil, person skadad vid av- och påstigning av cykel-annan sysselsättning;0
W1333;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-idrottsanläggning-annan sysselsättning;0
V1334;Cyklist skadad i kollision med personbil eller lätt lastbil, person skadad vid av- och påstigning av cykel-vitalaktivitet;0
W1334;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-idrottsanläggning-vitalaktivitet;0
V1338;Cyklist skadad i kollision med personbil eller lätt lastbil, person skadad vid av- och påstigning av cykel-andra aktiviteter;0
W1338;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-idrottsanläggning-andra aktiviteter;0
V1339;Cyklist skadad i kollision med personbil eller lätt lastbil, person skadad vid av- och påstigning av cykel-ospec aktiviteter;0
W1339;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-idrottsanläggning-ospec aktiviteter;0
V1340;Cyklist skadad i kollision med personbil eller lätt lastbil, förare av cykel skadad i trafikolycka-idrott;0
W1340;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-gata-idrott;0
V1341;Cyklist skadad i kollision med personbil eller lätt lastbil, förare av cykel skadad i trafikolycka-lek,fritid;0
W1341;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-gata-lek,fritid;0
V1342;Cyklist skadad i kollision med personbil eller lätt lastbil, förare av cykel skadad i trafikolycka-förvärvsarbete;0
W1342;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-gata-förvärvsarbete;0
V1343;Cyklist skadad i kollision med personbil eller lätt lastbil, förare av cykel skadad i trafikolycka-annan sysselsättning;0
W1343;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-gata-annan sysselsättning;0
V1344;Cyklist skadad i kollision med personbil eller lätt lastbil, förare av cykel skadad i trafikolycka-vitalaktivitet;0
W1344;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-gata-vitalaktivitet;0
V1348;Cyklist skadad i kollision med personbil eller lätt lastbil, förare av cykel skadad i trafikolycka-andra aktiviteter;0
W1348;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-gata-andra aktiviteter;0
V1349;Cyklist skadad i kollision med personbil eller lätt lastbil, förare av cykel skadad i trafikolycka-ospec aktiviteter;0
W1349;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-gata-ospec aktiviteter;0
V1350;Cyklist skadad i kollision med personbil eller lätt lastbil, passagerare på cykel skadad i trafikolycka-idrott;0
W1350;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-serviceområde-idrott;0
V1351;Cyklist skadad i kollision med personbil eller lätt lastbil, passagerare på cykel skadad i trafikolycka-lek,fritid;0
W1351;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-serviceområde-lek,fritid;0
V1352;Cyklist skadad i kollision med personbil eller lätt lastbil, passagerare på cykel skadad i trafikolycka-förvärvsarbete;0
W1352;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-serviceområde-förvärvsarbete;0
V1353;Cyklist skadad i kollision med personbil eller lätt lastbil, passagerare på cykel skadad i trafikolycka-annan sysselsättning;0
W1353;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-serviceområde-annan sysselsättning;0
V1354;Cyklist skadad i kollision med personbil eller lätt lastbil, passagerare på cykel skadad i trafikolycka-vitalaktivitet;0
W1354;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-serviceområde-vitalaktivitet;0
V1358;Cyklist skadad i kollision med personbil eller lätt lastbil, passagerare på cykel skadad i trafikolycka-andra aktiviteter;0
W1358;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-serviceområde-andra aktiviteter;0
V1359;Cyklist skadad i kollision med personbil eller lätt lastbil, passagerare på cykel skadad i trafikolycka-ospec aktiviteter;0
W1359;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-serviceområde-ospec aktiviteter;0
W1360;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-industriområde-idrott;0
W1361;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-industriområde-lek,fritid;0
W1362;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-industriområde-förvärvsarbete;0
W1363;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-industriområde-annan sysselsättning;0
W1364;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-industriområde-vitalaktivitet;0
W1368;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-industriområde-andra aktiviteter;0
W1369;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-industriområde-ospec aktiviteter;0
W1370;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-lantbruksområde-idrott;0
W1371;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-lantbruksområde-lek,fritid;0
W1372;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-lantbruksområde-förvärvsarbete;0
W1373;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-lantbruksområde-annan sysselsättning;0
W1374;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-lantbruksområde-vitalaktivitet;0
W1378;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-lantbruksområde-andra aktiviteter;0
W1379;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-lantbruksområde-ospec aktiviteter;0
W1380;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-andra områden-idrott;0
W1381;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-andra områden-lek,fritid;0
W1382;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-andra områden-förvärvsarbete;0
W1383;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-andra områden-annan sysselsättning;0
W1384;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-andra områden-vitalaktivitet;0
W1388;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-andra områden-andra aktiviteter;0
W1389;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-andra områden-ospec aktiviteter;0
V1390;Cyklist skadad i kollision med personbil eller lätt lastbil, cyklist, icke specificerad, skadad i trafikolycka-idrott;0
W1390;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-ospec område-idrott;0
V1391;Cyklist skadad i kollision med personbil eller lätt lastbil, cyklist, icke specificerad, skadad i trafikolycka-lek,fritid;0
W1391;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-ospec område-lek,fritid;0
V1392;Cyklist skadad i kollision med personbil eller lätt lastbil, cyklist, icke specificerad, skadad i trafikolycka-förvärvsarbete;0
W1392;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-ospec område-förvärvsarbete;0
V1393;Cyklist skadad i kollision med personbil eller lätt lastbil, cyklist, icke specificerad, skadad i trafikolycka-annan sysselsättning;0
W1393;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-ospec område-annan sysselsättning;0
V1394;Cyklist skadad i kollision med personbil eller lätt lastbil, cyklist, icke specificerad, skadad i trafikolycka-vitalaktivitet;0
W1394;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-ospec område-vitalaktivitet;0
V1398;Cyklist skadad i kollision med personbil eller lätt lastbil, cyklist, icke specificerad, skadad i trafikolycka-andra aktiviteter;0
W1398;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-ospec område-andra aktiviteter;0
V1399;Cyklist skadad i kollision med personbil eller lätt lastbil, cyklist, icke specificerad, skadad i trafikolycka-ospec aktiviteter;0
W1399;Fall ut ur, från eller genom byggnad eller byggnadskonstruktion-ospec område-ospec aktiviteter;0
V1400;Cyklist skadad i kollision med tung lastbil eller buss, förare av cykel skadad i olycka, ej trafik-idrott;0
W1400;Fall från träd-bostad-idrott;0
V1401;Cyklist skadad i kollision med tung lastbil eller buss, förare av cykel skadad i olycka, ej trafik-lek,fritid;0
W1401;Fall från träd-bostad-lek,fritid;0
V1402;Cyklist skadad i kollision med tung lastbil eller buss, förare av cykel skadad i olycka, ej trafik-förvärvsarbete;0
W1402;Fall från träd-bostad-förvärvsarbete;0
V1403;Cyklist skadad i kollision med tung lastbil eller buss, förare av cykel skadad i olycka, ej trafik-annan sysselsättning;0
W1403;Fall från träd-bostad-annan sysselsättning;0
V1404;Cyklist skadad i kollision med tung lastbil eller buss, förare av cykel skadad i olycka, ej trafik-vitalaktivitet;0
W1404;Fall från träd-bostad-vitalaktivitet;0
V1408;Cyklist skadad i kollision med tung lastbil eller buss, förare av cykel skadad i olycka, ej trafik-andra aktiviteter;0
W1408;Fall från träd-bostad-andra aktiviteter;0
V1409;Cyklist skadad i kollision med tung lastbil eller buss, förare av cykel skadad i olycka, ej trafik-ospec aktiviteter;0
W1409;Fall från träd-bostad-ospec aktiviteter;0
V1410;Cyklist skadad i kollision med tung lastbil eller buss, passagerare på cykel skadad i olycka, ej trafik-idrott;0
W1410;Fall från träd-institutionellt boende-idrott;0
V1411;Cyklist skadad i kollision med tung lastbil eller buss, passagerare på cykel skadad i olycka, ej trafik-lek,fritid;0
W1411;Fall från träd-institutionellt boende-lek,fritid;0
V1412;Cyklist skadad i kollision med tung lastbil eller buss, passagerare på cykel skadad i olycka, ej trafik-förvärvsarbete;0
W1412;Fall från träd-institutionellt boende-förvärvsarbete;0
V1413;Cyklist skadad i kollision med tung lastbil eller buss, passagerare på cykel skadad i olycka, ej trafik-annan sysselsättning;0
W1413;Fall från träd-institutionellt boende-annan sysselsättning;0
V1414;Cyklist skadad i kollision med tung lastbil eller buss, passagerare på cykel skadad i olycka, ej trafik-vitalaktivitet;0
W1414;Fall från träd-institutionellt boende-vitalaktivitet;0
V1418;Cyklist skadad i kollision med tung lastbil eller buss, passagerare på cykel skadad i olycka, ej trafik-andra aktiviteter;0
W1418;Fall från träd-institutionellt boende-andra aktiviteter;0
V1419;Cyklist skadad i kollision med tung lastbil eller buss, passagerare på cykel skadad i olycka, ej trafik-ospec aktiviteter;0
W1419;Fall från träd-institutionellt boende-ospec aktiviteter;0
V1420;Cyklist skadad i kollision med tung lastbil eller buss, cyklist, icke specificerad, skadad i olycka, ej trafik-idrott;0
W1420;Fall från träd-skola, offentlig lokal-idrott;0
V1421;Cyklist skadad i kollision med tung lastbil eller buss, cyklist, icke specificerad, skadad i olycka, ej trafik-lek,fritid;0
W1421;Fall från träd-skola, offentlig lokal-lek,fritid;0
V1422;Cyklist skadad i kollision med tung lastbil eller buss, cyklist, icke specificerad, skadad i olycka, ej trafik-förvärvsarbete;0
W1422;Fall från träd-skola, offentlig lokal-förvärvsarbete;0
V1423;Cyklist skadad i kollision med tung lastbil eller buss, cyklist, icke specificerad, skadad i olycka, ej trafik-annan sysselsättning;0
W1423;Fall från träd-skola, offentlig lokal-annan sysselsättning;0
V1424;Cyklist skadad i kollision med tung lastbil eller buss, cyklist, icke specificerad, skadad i olycka, ej trafik-vitalaktivitet;0
W1424;Fall från träd-skola, offentlig lokal-vitalaktivitet;0
V1428;Cyklist skadad i kollision med tung lastbil eller buss, cyklist, icke specificerad, skadad i olycka, ej trafik-andra aktiviteter;0
W1428;Fall från träd-skola, offentlig lokal-andra aktiviteter;0
V1429;Cyklist skadad i kollision med tung lastbil eller buss, cyklist, icke specificerad, skadad i olycka, ej trafik-ospec aktiviteter;0
W1429;Fall från träd-skola, offentlig lokal-ospec aktiviteter;0
V1430;Cyklist skadad i kollision med tung lastbil eller buss, person skadad vid av- och påstigning av cykel-idrott;0
W1430;Fall från träd-idrottsanläggning-idrott;0
V1431;Cyklist skadad i kollision med tung lastbil eller buss, person skadad vid av- och påstigning av cykel-lek,fritid;0
W1431;Fall från träd-idrottsanläggning-lek,fritid;0
V1432;Cyklist skadad i kollision med tung lastbil eller buss, person skadad vid av- och påstigning av cykel-förvärvsarbete;0
W1432;Fall från träd-idrottsanläggning-förvärvsarbete;0
V1433;Cyklist skadad i kollision med tung lastbil eller buss, person skadad vid av- och påstigning av cykel-annan sysselsättning;0
W1433;Fall från träd-idrottsanläggning-annan sysselsättning;0
V1434;Cyklist skadad i kollision med tung lastbil eller buss, person skadad vid av- och påstigning av cykel-vitalaktivitet;0
W1434;Fall från träd-idrottsanläggning-vitalaktivitet;0
V1438;Cyklist skadad i kollision med tung lastbil eller buss, person skadad vid av- och påstigning av cykel-andra aktiviteter;0
W1438;Fall från träd-idrottsanläggning-andra aktiviteter;0
V1439;Cyklist skadad i kollision med tung lastbil eller buss, person skadad vid av- och påstigning av cykel-ospec aktiviteter;0
W1439;Fall från träd-idrottsanläggning-ospec aktiviteter;0
V1440;Cyklist skadad i kollision med tung lastbil eller buss, förare av cykel skadad i trafikolycka-idrott;0
W1440;Fall från träd-gata-idrott;0
V1441;Cyklist skadad i kollision med tung lastbil eller buss, förare av cykel skadad i trafikolycka-lek,fritid;0
W1441;Fall från träd-gata-lek,fritid;0
V1442;Cyklist skadad i kollision med tung lastbil eller buss, förare av cykel skadad i trafikolycka-förvärvsarbete;0
W1442;Fall från träd-gata-förvärvsarbete;0
V1443;Cyklist skadad i kollision med tung lastbil eller buss, förare av cykel skadad i trafikolycka-annan sysselsättning;0
W1443;Fall från träd-gata-annan sysselsättning;0
V1444;Cyklist skadad i kollision med tung lastbil eller buss, förare av cykel skadad i trafikolycka-vitalaktivitet;0
W1444;Fall från träd-gata-vitalaktivitet;0
V1448;Cyklist skadad i kollision med tung lastbil eller buss, förare av cykel skadad i trafikolycka-andra aktiviteter;0
W1448;Fall från träd-gata-andra aktiviteter;0
V1449;Cyklist skadad i kollision med tung lastbil eller buss, förare av cykel skadad i trafikolycka-ospec aktiviteter;0
W1449;Fall från träd-gata-ospec aktiviteter;0
V1450;Cyklist skadad i kollision med tung lastbil eller buss, passagerare på cykel skadad i trafikolycka-idrott;0
W1450;Fall från träd-serviceområde-idrott;0
V1451;Cyklist skadad i kollision med tung lastbil eller buss, passagerare på cykel skadad i trafikolycka-lek,fritid;0
W1451;Fall från träd-serviceområde-lek,fritid;0
V1452;Cyklist skadad i kollision med tung lastbil eller buss, passagerare på cykel skadad i trafikolycka-förvärvsarbete;0
W1452;Fall från träd-serviceområde-förvärvsarbete;0
V1453;Cyklist skadad i kollision med tung lastbil eller buss, passagerare på cykel skadad i trafikolycka-annan sysselsättning;0
W1453;Fall från träd-serviceområde-annan sysselsättning;0
V1454;Cyklist skadad i kollision med tung lastbil eller buss, passagerare på cykel skadad i trafikolycka-vitalaktivitet;0
W1454;Fall från träd-serviceområde-vitalaktivitet;0
V1458;Cyklist skadad i kollision med tung lastbil eller buss, passagerare på cykel skadad i trafikolycka-andra aktiviteter;0
W1458;Fall från träd-serviceområde-andra aktiviteter;0
V1459;Cyklist skadad i kollision med tung lastbil eller buss, passagerare på cykel skadad i trafikolycka-ospec aktiviteter;0
W1459;Fall från träd-serviceområde-ospec aktiviteter;0
W1460;Fall från träd-industriområde-idrott;0
W1461;Fall från träd-industriområde-lek,fritid;0
W1462;Fall från träd-industriområde-förvärvsarbete;0
W1463;Fall från träd-industriområde-annan sysselsättning;0
W1464;Fall från träd-industriområde-vitalaktivitet;0
W1468;Fall från träd-industriområde-andra aktiviteter;0
W1469;Fall från träd-industriområde-ospec aktiviteter;0
W1470;Fall från träd-lantbruksområde-idrott;0
W1471;Fall från träd-lantbruksområde-lek,fritid;0
W1472;Fall från träd-lantbruksområde-förvärvsarbete;0
W1473;Fall från träd-lantbruksområde-annan sysselsättning;0
W1474;Fall från träd-lantbruksområde-vitalaktivitet;0
W1478;Fall från träd-lantbruksområde-andra aktiviteter;0
W1479;Fall från träd-lantbruksområde-ospec aktiviteter;0
W1480;Fall från träd-andra områden-idrott;0
W1481;Fall från träd-andra områden-lek,fritid;0
W1482;Fall från träd-andra områden-förvärvsarbete;0
W1483;Fall från träd-andra områden-annan sysselsättning;0
W1484;Fall från träd-andra områden-vitalaktivitet;0
W1488;Fall från träd-andra områden-andra aktiviteter;0
W1489;Fall från träd-andra områden-ospec aktiviteter;0
V1490;Cyklist skadad i kollision med tung lastbil eller buss, cyklist, icke specificerad, skadad i trafikolycka-idrott;0
W1490;Fall från träd-ospec område-idrott;0
V1491;Cyklist skadad i kollision med tung lastbil eller buss, cyklist, icke specificerad, skadad i trafikolycka-lek,fritid;0
W1491;Fall från träd-ospec område-lek,fritid;0
V1492;Cyklist skadad i kollision med tung lastbil eller buss, cyklist, icke specificerad, skadad i trafikolycka-förvärvsarbete;0
W1492;Fall från träd-ospec område-förvärvsarbete;0
V1493;Cyklist skadad i kollision med tung lastbil eller buss, cyklist, icke specificerad, skadad i trafikolycka-annan sysselsättning;0
W1493;Fall från träd-ospec område-annan sysselsättning;0
V1494;Cyklist skadad i kollision med tung lastbil eller buss, cyklist, icke specificerad, skadad i trafikolycka-vitalaktivitet;0
W1494;Fall från träd-ospec område-vitalaktivitet;0
V1498;Cyklist skadad i kollision med tung lastbil eller buss, cyklist, icke specificerad, skadad i trafikolycka-andra aktiviteter;0
W1498;Fall från träd-ospec område-andra aktiviteter;0
V1499;Cyklist skadad i kollision med tung lastbil eller buss, cyklist, icke specificerad, skadad i trafikolycka-ospec aktiviteter;0
W1499;Fall från träd-ospec område-ospec aktiviteter;0
V1500;Cyklist skadad i kollision med tåg, förare av cykel skadad i olycka, ej trafik-idrott;0
W1500;Fall från stup-bostad-idrott;0
V1501;Cyklist skadad i kollision med tåg, förare av cykel skadad i olycka, ej trafik-lek,fritid;0
W1501;Fall från stup-bostad-lek,fritid;0
V1502;Cyklist skadad i kollision med tåg, förare av cykel skadad i olycka, ej trafik-förvärvsarbete;0
W1502;Fall från stup-bostad-förvärvsarbete;0
V1503;Cyklist skadad i kollision med tåg, förare av cykel skadad i olycka, ej trafik-annan sysselsättning;0
W1503;Fall från stup-bostad-annan sysselsättning;0
V1504;Cyklist skadad i kollision med tåg, förare av cykel skadad i olycka, ej trafik-vitalaktivitet;0
W1504;Fall från stup-bostad-vitalaktivitet;0
V1508;Cyklist skadad i kollision med tåg, förare av cykel skadad i olycka, ej trafik-andra aktiviteter;0
W1508;Fall från stup-bostad-andra aktiviteter;0
V1509;Cyklist skadad i kollision med tåg, förare av cykel skadad i olycka, ej trafik-ospec aktiviteter;0
W1509;Fall från stup-bostad-ospec aktiviteter;0
V1510;Cyklist skadad i kollision med tåg, passagerare på cykel skadad i olycka, ej trafik-idrott;0
W1510;Fall från stup-institutionellt boende-idrott;0
V1511;Cyklist skadad i kollision med tåg, passagerare på cykel skadad i olycka, ej trafik-lek,fritid;0
W1511;Fall från stup-institutionellt boende-lek,fritid;0
V1512;Cyklist skadad i kollision med tåg, passagerare på cykel skadad i olycka, ej trafik-förvärvsarbete;0
W1512;Fall från stup-institutionellt boende-förvärvsarbete;0
V1513;Cyklist skadad i kollision med tåg, passagerare på cykel skadad i olycka, ej trafik-annan sysselsättning;0
W1513;Fall från stup-institutionellt boende-annan sysselsättning;0
V1514;Cyklist skadad i kollision med tåg, passagerare på cykel skadad i olycka, ej trafik-vitalaktivitet;0
W1514;Fall från stup-institutionellt boende-vitalaktivitet;0
V1518;Cyklist skadad i kollision med tåg, passagerare på cykel skadad i olycka, ej trafik-andra aktiviteter;0
W1518;Fall från stup-institutionellt boende-andra aktiviteter;0
V1519;Cyklist skadad i kollision med tåg, passagerare på cykel skadad i olycka, ej trafik-ospec aktiviteter;0
W1519;Fall från stup-institutionellt boende-ospec aktiviteter;0
V1520;Cyklist skadad i kollision med tåg, cyklist, icke specificerad, skadad i olycka, ej trafik-idrott;0
W1520;Fall från stup-skola, offentlig lokal-idrott;0
V1521;Cyklist skadad i kollision med tåg, cyklist, icke specificerad, skadad i olycka, ej trafik-lek,fritid;0
W1521;Fall från stup-skola, offentlig lokal-lek,fritid;0
V1522;Cyklist skadad i kollision med tåg, cyklist, icke specificerad, skadad i olycka, ej trafik-förvärvsarbete;0
W1522;Fall från stup-skola, offentlig lokal-förvärvsarbete;0
V1523;Cyklist skadad i kollision med tåg, cyklist, icke specificerad, skadad i olycka, ej trafik-annan sysselsättning;0
W1523;Fall från stup-skola, offentlig lokal-annan sysselsättning;0
V1524;Cyklist skadad i kollision med tåg, cyklist, icke specificerad, skadad i olycka, ej trafik-vitalaktivitet;0
W1524;Fall från stup-skola, offentlig lokal-vitalaktivitet;0
V1528;Cyklist skadad i kollision med tåg, cyklist, icke specificerad, skadad i olycka, ej trafik-andra aktiviteter;0
W1528;Fall från stup-skola, offentlig lokal-andra aktiviteter;0
V1529;Cyklist skadad i kollision med tåg, cyklist, icke specificerad, skadad i olycka, ej trafik-ospec aktiviteter;0
