"D";"Klassifikation af sygdomme"
"DC609G";"Neoplasma malignum penis uden specifikation, basocellulært, multiplex"
"DC609H";"Neoplasma malignum penis uden specifikation, basocellulært, recidivans"
"DC609J";"Neoplasma malignum penis uden specifikation, planocellulært, verrukøst (cuniculatum, Buschke-Löwenstein)"
"DC609K";"Neoplasma malignum penis uden specifikation, planocellulært, spinocellulært"
"DC609L";"Neoplasma malignum penis uden specifikation, planocellulært, Marjorlin/Melaney"
"DC609M";"Neoplasma malignum penis uden specifikation, planocellulært, recidivans"
"DC609N";"Neoplasma malignum penis uden specifikation, mikrocystisk adneks karcinom"
"DC609P";"Neoplasma malignum penis uden specifikation, Merkelcelle karcinom"
"DC609Q";"Neoplasma malignum penis uden specifikation, adenoidt cystisk karcinom"
"DC609R";"Neoplasma malignum penis uden specifikation, mb. Paget (ekstramammært)"
"DC609S";"Neoplasma malignum penis uden specifikation, porokarcinom"
"DC609T";"Neoplasma malignum penis uden specifikation, sebaceøst karcinom"
"DC609U";"Neoplasma malignum penis uden specifikation, trichillemmalt karcinom"
"DC609V";"Neoplasma malignum penis uden specifikation, dermatofibrosarcoma protuberans"
"DC609W";"Neoplasma malignum penis uden specifikation, angiosarkom"
"DC609Z";"Neoplasma malignum penis uden specifikation, andet"
"DC61";"Kræft i blærehalskirtel (Neoplasma malignum prostatae)"
"DC619";"Neoplasma malignum prostatae"
"DC62";"Kræft i testikel (Neoplasma malignum testis)"
"DC620";"Neoplasma malignum testis i forbindelse med retention og ektopi af testis"
"DC621";"Neoplasma malignum testis scroti"
"DC629";"Neoplasma malignum testis uden specifikation"
"DC629A";"Ekstragonadal germinalcelletumor (testis)"
"DC63";"Kræft i andre og ikke specificerede mandlige kønsorganer (Neoplasma malignum genitalium viri aliud et non specificatum)"
"DC630";"Neoplasma malignum epididymidis"
"DC631";"Neoplasma malignum funiculi spermatici"
"DC632";"Neoplasma malignum scroti"
"DC637";"Neoplasma malignum genitalium viri aliorum"
"DC637A";"Neoplasma malignum tunicae vaginalis scroti"
"DC637B";"Neoplasma malignum vesiculae seminalis"
"DC638";"Neoplasma malignum genitalium viri overgribende flere regioner"
"DC639";"Neoplasma malignum genitalium viri uden specifikation"
"DC64";"Kræft i nyre undtagen nyrebækken (Neoplasma malignum renis excl. pelvis renis)"
"DC649";"Neoplasma malignum renis excl. pelvis renis"
"DC65";"Kræft i nyrebækken (Neoplasma malignum pelvis renis)"
"DC659";"Neoplasma malignum pelvis renis"
"DC66";"Kræft i urinleder (Neoplasma malignum ureteris)"
"DC669";"Neoplasma malignum ureteris"
"DC67";"Kræft i urinblære (Neoplasma malignum vesicae urinariae)"
"DC670";"Neoplasma malignum trigoni vesicae urinariae"
"DC671";"Neoplasma malignum vesicae urinariae (loft)"
"DC672";"Neoplasma malignum vesicae urinariae (sidevæg)"
"DC673";"Neoplasma malignum vesicae urinariae (forvæg)"
"DC674";"Neoplasma malignum vesicae urinariae (bagvæg)"
"DC675";"Neoplasma malignum cervicis vesicae urinariae"
"DC675A";"Neoplasma malignum vesicae urinariae, orificium internum urethrae"
"DC676";"Neoplasma malignum orificii ureteris"
"DC677";"Neoplasma malignum urachi"
"DC678";"Neoplasma malignum vesicae urinariae overgribende flere regioner"
"DC679";"Neoplasma malignum vesicae urinariae uden specifikation"
"DC68";"Kræft i andre og ikke specificerede urinorganer (Neoplasma malignum organorum urinariorum aliorum et non specificatorum)"
"DC680";"Neoplasma malignum urethrae"
"DC681";"Neoplasma malignum glandulae paraurethralis"
"DC688";"Neoplasma malignum organorum urinariorum overgribende flere regioner"
"DC689";"Neoplasma malignum organi urinarii uden specifikation"
"DC69";"Kræft i øje og øjenomgivelser (Neoplasma malignum oculi et adnexae)"
"DC690";"Neoplasma malignum conjunctivae"
"DC691";"Neoplasma malignum corneae"
"DC692";"Neoplasma malignum retinae"
"DC692A";"Retinoblastom"
"DC693";"Neoplasma malignum chorioideae"
"DC694";"Neoplasma malignum corporis ciliaris oculi"
"DC694A";"Neoplasma malignum oculi, bulbus"
"DC695";"Neoplasma malignum glandulae et ductus lacrimalis"
"DC695A";"Neoplasma malignum ductus lacrimalis"
"DC695B";"Neoplasma malignum glandulae lacrimalis"
"DC696";"Neoplasma malignum orbitae"
"DC697";"Malignt melanom i øjet"
"DC698";"Neoplasma malignum oculi et adnexae overgribende flere regioner"
"DC699";"Neoplasma malignum oculi uden specifikation"
"DC70";"Kræft i hjernehinder og rygmarvshinder (Neoplasma malignum meningum)"
"DC700";"Neoplasma malignum meningum cerebri"
"DC701";"Neoplasma malignum meningum medullae spinalis"
"DC709";"Neoplasma malignum meningum uden specifikation"
"DC71";"Kræft i hjerne (Neoplasma malignum cerebri)"
"DC710";"Neoplasma malignum cerebri (excl. lobi et ventriculi cerebri)"
"DC710A";"Neoplasma malignum cerebri, corpus callosum"
"DC710B";"Neoplasma malignum cerebri supratentoriale uden specifikation"
"DC711";"Neoplasma malignum cerebri (lobus frontalis)"
"DC712";"Neoplasma malignum cerebri (lobus temporalis)"
"DC713";"Neoplasma malignum cerebri (lobus parietalis)"
"DC714";"Neoplasma malignum cerebri (lobus occipitalis)"
"DC715";"Neoplasma malignum cerebri intraventriculare"
"DC716";"Neoplasma malignum cerebelli"
"DC717";"Neoplasma malignum cerebri (hjernestamme og 4. ventrikel)"
"DC717A";"Neoplasma malignum cerebri, 4 ventrikel"
"DC717B";"Neoplasma malignum cerebri, hjernestamme"
"DC717C";"Neoplasma malignum cerebri infratentoriale uden specifikation"
"DC718";"Neoplasma malignum cerebri overgribende flere regioner"
"DC719";"Neoplasma malignum cerebri uden specifikation"
"DC72";"Kræft i rygmarv, kranienerver og andre dele af centralnervesystem (Neoplasma malignum medullae spinalis nervorum cranialium et systematis nervosi centralis partes aliae)"
"DC720";"Neoplasma malignum medullae spinalis"
"DC721";"Neoplasma malignum caudae equinae"
"DC722";"Neoplasma malignum nervi olfactorii"
"DC722A";"Neoplasma malignum bulbi olfactorii"
"DC723";"Neoplasma malignum nervi optici"
"DC724";"Neoplasma malignum nervi acustici"
"DC725";"Neoplasma malignum nervi cranialis med anden lokalisation eller uden specifikation"
"DC728";"Neoplasma malignum overgribende hjerne og andre dele af centralnervesystem"
"DC728A";"Carcinomatosis pleurae"
"DC729";"Neoplasma malignum systematis nervosi centralis uden specifikation"
"DC73";"Kræft i skjoldbruskkirtel (Neoplasma malignum glandulae thyreoideae)"
"DC739";"Neoplasma malignum glandulae thyreoideae"
"DC74";"Kræft i binyre (Neoplasma malignum glandulae suprarenalis)"
"DC740";"Neoplasma malignum glandulae suprarenalis (cortex)"
"DC741";"Neoplasma malignum glandulae suprarenalis (medulla)"
"DC749";"Neoplasma malignum glandulae suprarenalis uden specifikation"
"DC75";"Kræft i andre endokrine kirtler og lignende strukturer (Neoplasma malignum glandulae endocrinae et structurae relatae)"
"DC750";"Neoplasma malignum glandulae parathyreoideae"
"DC751";"Neoplasma malignum glandulae pituitariae"
"DC752";"Neoplasma malignum ductus craniopharyngei"
"DC753";"Neoplasma malignum corporis pinealis"
"DC754";"Neoplasma malignum glomeris carotici"
"DC755";"Neoplasma malignum corporis para-aortici et paragangliae aliae"
"DC755A";"Neoplasma malignum corporis paraaortici"
"DC755B";"Neoplasma malignum paragangliosum"
"DC758";"Neoplasma malignum pluriglandulare uden specifikation"
"DC759";"Neoplasma malignum glandulae endocrinae uden specifikation"
"DC76";"Kræft med dårligt definerede, sekundære eller ikke specificerede lokalisationer (Neoplasma malignum, loco alio et male definito)"
"DC760";"Neoplasma malignum capitis, faciei, colli uden specifikation"
"DC760A";"Neoplasma malignum capitis uden specifikation"
"DC760B";"Neoplasma malignum colli uden specifikation"
"DC760C";"Neoplasma malignum faciei uden specifikation"
"DC761";"Neoplasma malignum thoracis uden specifikation"
"DC762";"Neoplasma malignum abdominis uden specifikation"
"DC763";"Neoplasma malignum pelvis uden specifikation"
"DC764";"Neoplasma malignum extremitatis superioris uden specifikation"
"DC765";"Neoplasma malignum extremitatis inferioris uden specifikation"
"DC767";"Neoplasma malignum med anden specificeret lokalisation"
"DC768";"Neoplasma malignum overgribende flere dårligt definerede lokalisationer"
"DC77";"Metastaser og ikke specificeret kræft i lymfeknuder"
"DC770";"Metastase eller ikke specificeret kræft i lymfeknude i hoved, ansigt eller hals"
"DC770A";"Metastase i lymfeknude i hovedet"
"DC770B";"Kræft i lymfeknude i hovedet uden specifikation"
"DC770C";"Metastase i lymfeknude i halsen"
"DC770D";"Kræft i lymfeknude i halsen uden specifikation"
"DC770E";"Metastase i lymfeknude i ansigtet"
"DC770F";"Kræft i lymfeknude i ansigtet uden specifikation"
"DC770G";"Metastase i supraklavikulær lymfeknude"
"DC770H";"Kræft i supraklavikulær lymfeknude uden specifikation"
"DC771";"Metastase eller ikke specificeret kræft i intratorakal lymfeknude"
"DC771A";"Metastase i intratorakal lymfeknude"
"DC771B";"Kræft i intratorakal lymfeknude uden specifikation"
"DC772";"Metastase eller ikke specificeret kræft i intraabdominal lymfeknude"
"DC772A";"Metastase i intraabdominal lymfeknude"
"DC772B";"Kræft i intraabdominal lymfeknude uden specifikation"
"DC773";"Metastase eller ikke specificeret kræft i lymfeknude i axil eller overekstremiteten"
"DC773A";"Metastase i lymfeknude i axillen"
"DC773B";"Kræft i lymfeknude i axil uden specifikation"
"DC773C";"Metastase i lymfeknude i overekstremiteten"
"DC773D";"Kræft i lymfeknude i overekstremiteten uden specifikation"
"DC774";"Metastase eller ikke specificeret kræft i lymfeknude i lyske eller underekstremiteten"
"DC774A";"Metastase i lymfeknude i underekstremiteten"
"DC774B";"Kræft i lymfeknude i underekstremiteten uden specifikation"
"DC774C";"Metastase i lymfeknude i lysken"
"DC774D";"Kræft i lymfeknude i lysken uden specifikation"
"DC775";"Metastase eller ikke specificeret kræft i intrapelvin lymfeknude"
"DC775A";"Metastase i intrapelvin lymfeknude"
"DC775B";"Kræft i intrapelvin lymfeknude uden specifikation"
"DC778";"Metastaser eller ikke specificeret kræft i lymfeknuder i multiple lokalisationer"
"DC778A";"Metastaser i lymfeknuder i multiple lokalisationer"
"DC778B";"Kræft i lymfeknuder i multiple lokalisationer uden specifikation"
"DC779";"Metastase eller ikke specificeret kræft i lymfeknude uden specifikation"
"DC779A";"Metastase i lymfeknude uden specifikation"
"DC779B";"Kræft i lymfeknude uden specifikation"
"DC78";"Metastaser i åndedrætsorganer og fordøjelsessystemet"
"DC780";"Metastase i lungen"
"DC781";"Metastase i mediastinum"
"DC782";"Metastase i lungehinden"
"DC783";"Metastase i anden eller uspecificeret lokalisation i åndedrætsorgan"
"DC784";"Metastase i tyndtarmen"
"DC784A";"Metastase i duodenum"
"DC785";"Metastase i tyktarm eller endetarm"
"DC785A";"Metastase i tyktarmen"
"DC785B";"Metastase i endetarmen"
"DC786";"Metastase i retroperitonale rum eller i peritoneum"
"DC786A";"Malign ascites uden specifikation"
"DC786B";"Metastase i peritoneum"
"DC786C";"Metastase i retroperitoneale rum"
"DC786D";"Carcinomatosis peritonei"
"DC787";"Metastase i leveren"
"DC788";"Metastase i anden eller uspecificeret lokalisation i fordøjelsesorgan"
"DC79";"Metastaser i andre specificerede lokalisationer"
"DC790";"Metastase i nyre eller nyrebækken"
"DC790A";"Metastase i nyrebækkenet"
"DC790B";"Metastase i nyren"
"DC791";"Metastase i urinblæren eller i andet eller uspecificeret urinorgan"
"DC791I";"Metastase i urinblæren"
"DC791J";"Metastase i prostata"
"DC791S";"Metastase i penis"
"DC791T";"Metastase i testiklen"
"DC791U";"Metastase i ureter"
"DC791V";"Metastase i urethra"
"DC791X";"Metastase i urinorganer overgribende flere lokalisationer"
"DC792";"Metastase i huden"
"DC793";"Metastase i hjerne eller hjernehinder"
"DC793A";"Metastase i hjernen"
"DC793B";"Metastase i hjernehinde"
"DC793C";"Metastase i rygmarvshinde"
"DC794";"Metastase i anden eller uspecificeret lokalisation i nervesystemet"
"DC795";"Metastase i knogle eller knoglemarv"
"DC795A";"Metastase i knoglemarven"
"DC795B";"Metastase i knogle"
"DC795C";"Metastase i ryghvirvel"
"DC796";"Metastase i æggestokken"
"DC797";"Metastase i binyren"
"DC798";"Metastase i anden eller uspecificeret lokalisation"
"DC798A";"Carcinomatosis"
"DC80";"Uspecificeret kræft (ukendt primærtumor)"
"DC809";"Kræft uden specifikation og uden angivelse af lokalisation"
"DC81";"Malignt lymfom af Hodgkin type (Lymphoma Hodgkin)"
"DC810";"Lymphoma Hodgkin 'lymphocytic predominance'"
"DC811";"Lymphoma Hodgkin 'nodular sclerosis'"
"DC812";"Lymphoma Hodgkin 'mixed cellularity'"
"DC813";"Lymphoma Hodgkin 'lymphocytic depletion'"
"DC817";"Lymphoma Hodgkin specificeret på anden måde"
"DC819";"Lymphoma Hodgkin uden specifikation"
"DC82";"Malignt lymfom af non-Hodgkin, follikulær type"
"DC820";"Lymphoma malignum af non-Hodgkin, follikulær type 'small cleaved cell'"
"DC821";"Lymphoma malignum af non-Hodgkin, follikulær type 'mixed small cleaved and large cell'"
"DC822";"Lymphoma malignum af non Hodgkin, follikulær type 'large cell'"
"DC827";"Lymphoma malignum af non-Hodgkin, anden af follikulær type"
"DC829";"Lymphoma malignum af non-Hodgkin, follikulær type uden specifikation"
"DC83";"Malignt lymfom af non-Hodgkin, diffus type"
"DC830";"Lymphoma malignum af non-Hodgkin, diffus type 'small cell'"
"DC831";"Lymphoma malignum af non-Hodgkin, diffus type 'small cleaved cell'"
"DC832";"Lymphoma malignum af non-Hodgkin, diffus type 'mixed small and large cell'"
"DC833";"Lymphoma malignum af non-Hodgkin, diffus type 'large cell'"
"DC834";"Lymphoma malignum af non-Hodgkin, diffus immunoblastær type"
"DC835";"Lymphoma malignum af non-Hodgkin, diffus lymfoblastær type"
"DC836";"Lymphoma malignum af non-Hodgkin, diffus udifferentieret type"
"DC837";"Lymphoma Burkitt"
"DC838";"Lymphoma malignum af non-Hodgkin, andre diffuse typer"
"DC839";"Lymphoma malignum af non-Hodgkin, diffus type uden specifikation"
"DC84";"T-celle malignt lymfom lokaliseret i hud eller systemisk (Lymphoma malignum (T-celle) cutis sive generalisata)"
"DC840";"Mycosis fungoides"
"DC840A";"Mycosis fungoides associeret med follikulær mucinose"
"DC840B";"Pagetoid retikulose (Woringer-Kolopp)"
"DC840C";"Granulomatøs slack skin (lymphoma malignum)"
"DC841";"Morbus Sézary"
"DC842";"Lymphoma malignum (T-zone)"
"DC843";"Lymphoma malignum (lymfoepiteloidt)"
"DC844";"Lymphoma malignum (T-celle), perifert"
"DC844A";"Storcellet Pleomorft CD30+ T-celle lymfom"
"DC844B";"Storcellet Pleomorft CD30- T-celle lymfom"
"DC844C";"Storcellet immunoblastisk CD30+ T-celle lymfom"
"DC844D";"Storcellet immunoblastisk CD30- T-celle lymfom"
"DC844E";"Middel-småcellet pleomorft T-celle lymfom"
"DC845";"Lymphoma malignum (T-celle), anden eller uden specifikation"
"DC845A";"Storcellet anaplastisk CD30+ T-celle lymfom"
"DC845B";"Storcellet anaplastisk CD30+ T-celle lymfom, primært i huden"
"DC845C";"Subkutant pannikulitrelateret T-lymfom"
"DC845D";"Angiocentrisk T-/NK-celle lymfom"
"DC85";"Malignt lymfom af non-Hodgkin type, andet og ikke specificeret (Lymphoma non-Hodgkin aliud sive non specificatum)"
"DC850";"Lymphosarcoma"
"DC851";"Lymphoma malignum (B-celle) uden specifikation"
"DC851A";"Follikelcenter B-celle lymfom"
"DC851B";"Marginal zone B-celle lymfom (immunocytom)"
"DC851C";"Diffust storcellet B-celle lymfom"
"DC851D";"T-cellerigt B-celle lymfom"
"DC851E";"Storcellet intravaskulært B-celle lymfom"
"DC857";"Lymphoma malignum af non-Hodgkin, anden specifikation"
"DC857A";"Reticulosis lymphatica follicularis"
"DC859";"Lymphoma malignum af non-Hodgkin, uden specifikation"
"DC859A";"Malignt lymfom uden specifikation"
"DC859B";"Lymfom uden specifikation"
"DC88";"Ondartet immunoproliferativ sygdom (Neoplasma malignum immunoproliferativum)"
"DC880";"Macroglobulinaemia primaria Waldenström"
"DC881";"Paraproteinaemia 'alpha heavy chain'"
"DC882";"Paraproteinaemia 'gamma heavy chain'"
"DC883";"Neoplasma malignum immunoproliferativum intestini tenuis"
"DC887";"Neoplasma malignum immunoproliferativum andre former"
"DC889";"Neoplasma malignum immunoproliferativum uden specifikation"
"DC90";"Myelomatose, multiple myelomer (Myelomatosis, myeloma multiplex)"
"DC900";"Myelomatosis"
"DC901";"Leukaemia plasmacytica"
"DC902";"Plasmacytoma extramedullare"
"DC902A";"Myeloma solitarium"
"DC91";"Lymfatisk leukæmi (Leukaemia lymphatica)"
"DC910";"Leukaemia lymphoblastica acuta"
"DC911";"Leukaemia lymphatica chronica"
"DC912";"Leukaemia lymphatica subacuta"
"DC913";"Leukaemia prolymphocytica"
"DC914";"Leukaemia 'hårcelle'"
"DC914A";"Reticuloendotheliosis leucaemica"
"DC915";"Leukaemia (T-lymfocytær hos voksne)"
"DC917";"Leukaemia lymphatica anden form"
"DC917A";"Leukaemia aleukaemica lymphatica"
"DC919";"Leukaemia lymphatica uden specifikation"
"DC92";"Myeloid leukæmi (Leukaemia myeloides)"
"DC920";"Leukaemia myeloblastica acuta"
"DC921";"Leukaemia myeloides chronica"
"DC922";"Leukaemia myeloides subacuta"
"DC923";"Sarcoma myeloides"
"DC924";"Leukaemia promyelocytica"
"DC925";"Leukaemia myelomonocytica acuta"
"DC927";"Leukaemia myeloides anden form"
"DC927A";"Leukaemia aleukaemica myeloides"
"DC929";"Leukaemia myeloides uden specifikation"
"DC93";"Monocytleukæmi (Leukaemia monocytica)"
"DC930";"Leukaemia monocytica acuta"
"DC931";"Leukaemia monocytica chronica"
"DC932";"Leukaemia monogytica subacuta"
"DC937";"Leukaemia monocytica anden form"
"DC939";"Leukaemia monocytica uden specifikation"
"DC94";"Leukæmi, anden specificeret (Leukaemia alia specificata)"
"DC940";"Erythroleukaemia acuta"
"DC941";"Erythroleukaemia chronica"
"DC942";"Leukaemia megakaryoblastica acuta"
"DC943";"Leukaemia basophilica"
"DC943A";"Mastcelleleukæmi"
"DC944";"Panmyelosis acuta"
"DC945";"Myelofibrosis acuta"
"DC947";"Leukaemia anden specificeret form"
"DC947A";"Leukaemia eosinophilica"
"DC95";"Leukæmi uden specifikation (Leukaemia non specificata)"
"DC950";"Leukaemia acuta uden specifikation"
"DC950A";"Blastcelleleukæmi"
"DC950B";"Leukaemia acuta, stamcelleleukæmi"
"DC951";"Leukaemia chronica uden specifikation"
"DC952";"Leukaemia subacuta uden specifikation"
"DC957";"Leukaemia anden form uden specifikation"
"DC959";"Leukaemia uden specifikation"
"DC96";"Kræft, anden og ikke specificeret i lymfatisk og bloddannende væv (Neoplasmata maligna alia telae lymphaticae et haematopoieticae)"
"DC960";"Morbus Letterer-Siwe"
"DC961";"Histiocytosis maligna"
"DC962";"Mastocytoma malignum"
"DC963";"Lymphoma malignum histiocyticum verum"
"DC967";"Neoplasma malignum aliud telae lymphaticae et haematopoieticae"
"DC969";"Neoplasma malignum telae lymphaticae et haematopoieticae uden specifikation"
"DC97";"Kræft opstået uafhængigt i flere lokalisationer"
"DC979";"Neoplasma malignum primarium, flere lokalisationer"
"DD00";"Carcinoma in situ på læbe, i mundhule, svælg, spiserør og mavesæk (Carcinoma in situ labii oris, cavi oris, oesophagi et ventriculi)"
"DD000";"Carcinoma in situ labii oris, cavi oris et pharyngis"
"DD000A";"Carcinoma in situ cavi oris"
"DD000B";"Carcinoma in situ labii oris"
"DD000C";"Carcinoma in situ pharyngis"
"DD001";"Carcinoma in situ oesophagi"
"DD002";"Carcinoma in situ ventriculi"
"DD01";"Carcinoma in situ i andre og ikke specificerede fordøjelsesorganer (Carcinoma in situ organorum digestivi aliorum et non specificatorum)"
"DD010";"Carcinoma in situ coli"
"DD012";"Carcinoma in situ recti"
"DD013";"Carcinoma in situ ani et canalis analis"
"DD013A";"Carcinoma in situ ani"
"DD013B";"Carcinoma in situ canalis analis"
"DD014";"Carcinoma in situ intestini alii uden specifikation"
"DD015";"Carcinoma in situ hepatis, vesicae felleae et viarum biliarium"
"DD015A";"Carcinoma in situ ampullae Vateri"
"DD015B";"Carcinoma in situ hepatis"
"DD015C";"Carcinoma in situ vesicae felleae"
"DD015D";"Carcinoma in situ viarum biliarium"
"DD017";"Carcinoma in situ systematis digestivi med anden lokalisation"
"DD019";"Carcinoma in situ systematis digestivi uden specifikation"
"DD02";"Carcinoma in situ i mellemøre og åndedrætsorganer (Carcinoma in situ auris mediae et organorum respirationis)"
"DD020";"Carcinoma in situ laryngis"
"DD021";"Carcinoma in situ tracheae"
"DD022";"Carcinoma in situ bronchi et pulmonis"
"DD022A";"Carcinoma in situ bronchi"
"DD022B";"Carcinoma in situ pulmonis"
"DD023";"Carcinoma in situ i andre dele af åndedrætsorganer samt mellemøre"
"DD023A";"Carcinoma in situ auris mediae"
"DD023B";"Carcinoma in situ cavi nasi"
"DD023C";"Carcinoma in situ sinus accessorii"
"DD024";"Carcinoma in situ i åndedrætsorganer uden specifikation"
"DD03";"Melanoma in situ (Melanoma in situ)"
"DD030";"Melanoma in situ labii oris"
"DD030E";"Melanoma in situ labii oris, lentigo maligna"
"DD030F";"Melanoma in situ labii oris, superficielt spredende"
"DD031";"Melanoma in situ palpebrae (inkl. canthus oculi)"
"DD031A";"Melanoma in situ canthi oculi"
"DD031B";"Melanoma in situ palpebrae"
"DD031E";"Melanoma in situ palpebrae, lentigo maligna"
"DD031F";"Melanoma in situ palpebrae, superficielt spredende"
"DD032";"Melanoma in situ auris, canalis auris externae et meatus acustici externi"
"DD032A";"Melanoma in situ auris"
"DD032B";"Melanoma in situ canalis auris externae"
"DD032C";"Melanoma in situ meatus acustici externi"
"DD032E";"Melanoma in situ auris, canalis auris externae et meatus acustici externi, lentigo maligna"
"DD032F";"Melanoma in situ auris, canalis auris externae et meatus acustici externi, superficielt spredende"
"DD033";"Melanoma in situ faciei med anden eller ikke specificeret lokalisation"
"DD033E";"Melanoma in situ faciei med anden eller ikke specificeret lokalisation, lentigo maligna"
"DD033F";"Melanoma in situ faciei med anden eller ikke specificeret lokalisation, superficielt spredende"
"DD034";"Melanoma in situ capillitii et colli"
"DD034A";"Melanoma in situ capillitii"
"DD034B";"Melanoma in situ colli"
"DD034E";"Melanoma in situ capillitii et colli, lentigo maligna"
"DD034F";"Melanoma in situ capillitii et colli, superficielt spredende"
"DD035";"Melanoma in situ trunci"
"DD035A";"Melanoma in situ cutis ani"
"DD035B";"Melanoma in situ cutis mammae"
"DD035C";"Melanoma in situ cutis perianalis"
"DD035D";"Melanoma in situ cervicis uteri"
"DD035E";"Melanoma in situ trunci, lentigo maligna"
"DD035F";"Melanoma in situ trunci, superficielt spredende"
"DD036";"Melanoma in situ extremitatis superioris (inkl. cingulum)"
"DD036A";"Melanoma in situ cinguli"
"DD036B";"Melanoma in situ extremitatis superioris"
"DD036E";"Melanoma in situ extremitatis superioris, lentigo maligna"
"DD036F";"Melanoma in situ extremitatis superioris, superficielt spredende"
"DD037";"Melanoma in situ extremitatis inferioris (inkl. regio coxae)"
"DD037A";"Melanoma in situ extremitatis inferioris"
"DD037B";"Melanoma in situ regionis coxae"
"DD037E";"Melanoma in situ extremitatis inferioris, lentigo maligna"
"DD037F";"Melanoma in situ extremitatis inferioris, superficielt spredende"
"DD038";"Melanoma in situ med anden lokalisation"
"DD038E";"Melanoma in situ med anden lokalisation, lentigo maligna"
"DD038F";"Melanoma in situ med anden lokalisation, superficielt spredende"
"DD039";"Melanoma in situ uden specifikation"
"DD039E";"Melanoma in situ uden specifikation, lentigo maligna"
"DD039F";"Melanoma in situ uden specifikation, superficielt spredende"
"DD04";"Carcinoma in situ i hud (Carcinoma in situ cutis)"
"DD040";"Carcinoma in situ cutis labii"
"DD040E";"Carcinoma in situ cutis labii, bowenoid papulose"
"DD040G";"Carcinoma in situ cutis labii, recidivans"
"DD040Z";"Carcinoma in situ cutis labii, andet"
"DD041";"Carcinoma in situ cutis palpebrae (inkl. canthus oculi)"
"DD041A";"Carcinoma in situ cutis canthi oculi"
"DD041B";"Carcinoma in situ cutis palpebrae"
"DD041D";"Carcinoma in situ cutis palpebrae, mb. Bowen"
"DD041E";"Carcinoma in situ cutis palpebrae, bowenoid papulose"
"DD041G";"Carcinoma in situ cutis palpebrae, recidivans"
"DD041Z";"Carcinoma in situ cutis palpebrae, andet"
"DD042";"Carcinoma in situ cutis auris, canalis auris externae et meatus acustici externi"
"DD042A";"Carcinoma in situ cutis auris"
"DD042B";"Carcinoma in situ cutis canalis auris externae"
"DD042C";"Carcinoma in situ meatus acustici externi"
"DD042D";"Carcinoma in situ cutis auris, canalis auris externae et meatus acustici externi, mb. Bowen"
"DD042E";"Carcinoma in situ cutis auris, canalis auris externae et meatus acustici externi, bowenoid papulose"
"DD042G";"Carcinoma in situ cutis auris, canalis auris externae et meatus acustici externi, recidivans"
"DD042Z";"Carcinoma in situ cutis auris, canalis auris externae et meatus acustici externi, andet"
"DD043";"Carcinoma in situ cutis faciei med anden eller ikke specificeret lokalisation"
"DD043A";"Carcinoma in situ cutis faciei, anden lokalisation"
"DD043B";"Carcinoma in situ cutis faciei uden specifikation"
"DD043D";"Carcinoma in situ cutis faciei med anden eller ikke specificeret lokalisation, mb. Bowen"
"DD043E";"Carcinoma in situ cutis faciei med anden eller ikke specificeret lokalisation, bowenoid papulose"
"DD043G";"Carcinoma in situ cutis faciei med anden eller ikke specificeret lokalisation, recidivans"
"DD043Z";"Carcinoma in situ cutis faciei med anden eller ikke specificeret lokalisation, andet"
"DD044";"Carcinoma in situ cutis capillitii et colli"
"DD044A";"Carcinoma in situ cutis capillitii"
"DD044B";"Carcinoma in situ cutis colli"
"DD044D";"Carcinoma in situ cutis capillitii et colli, mb. Bowen"
"DD044E";"Carcinoma in situ cutis capillitii et colli, bowenoid papulose"
"DD044G";"Carcinoma in situ cutis capillitii et colli, recidivans"
"DD044Z";"Carcinoma in situ cutis capillitii et colli, andet"
"DD045";"Carcinoma in situ cutis trunci"
"DD045A";"Carcinoma in situ cutis ani"
"DD045B";"Carcinoma in situ cutis mammae"
"DD045C";"Carcinoma in situ cutis perianalis"
"DD045D";"Carcinoma in situ cutis trunci, mb. Bowen"
"DD045E";"Carcinoma in situ cutis trunci, bowenoid papulose"
"DD045G";"Carcinoma in situ cutis trunci, recidivans"
"DD045Z";"Carcinoma in situ cutis trunci, andet"
"DD046";"Carcinoma in situ cutis extremitatis superioris (inkl. cingulum)"
"DD046A";"Carcinoma in situ cutis cinguli"
"DD046B";"Carcinoma in situ cutis extremitatis superioris"
"DD046D";"Carcinoma in situ cutis extremitatis superioris, mb. Bowen"
"DD046E";"Carcinoma in situ cutis extremitatis superioris, bowenoid papulose"
"DD046G";"Carcinoma in situ cutis extremitatis superioris, recidivans"
"DD046Z";"Carcinoma in situ cutis extremitatis superioris, andet"
"DD047";"Carcinoma in situ cutis extremitatis inferioris (inkl. regio coxae)"
"DD047A";"Carcinoma in situ cutis extremitatis inferioris"
"DD047B";"Carcinoma in situ cutis regionis coxae"
"DD047D";"Carcinoma in situ cutis extremitatis inferioris, mb. Bowen"
"DD047E";"Carcinoma in situ cutis extremitatis inferioris, bowenoid papulose"
"DD047G";"Carcinoma in situ cutis extremitatis inferioris, recidivans"
"DD047Z";"Carcinoma in situ cutis extremitatis inferioris, andet"
"DD048";"Carcinoma in situ cutis med anden lokalisation"
"DD048D";"Carcinoma in situ cutis med anden lokalisation, mb. Bowen"
"DD048E";"Carcinoma in situ cutis med anden lokalisation, bowenoid papulose"
"DD048G";"Carcinoma in situ cutis med anden lokalisation, recidivans"
"DD048Z";"Carcinoma in situ cutis med anden lokalisation, andet"
"DD049";"Carcinoma in situ cutis uden specifikation"
