kóði;enskt heiti;;staða
K26.1;Duodenal ulcer - Acute with perforation;;1
K26.2;Duodenal ulcer - Acute with both haemorrhage and perforation;;1
K26.3;Duodenal ulcer - Acute without haemorrhage or perforation;;1
K26.4;Duodenal ulcer - Chronic or unspecified with haemorrhage;;1
K26.5;Duodenal ulcer - Chronic or unspecified with perforation;;1
K26.6;Duodenal ulcer - Chronic or unspecified with both haemorrhage and perforation;;1
K26.7;Duodenal ulcer - Chronic without haemorrhage or perforation;;1
K26.9;Duodenal ulcer - Unspecified as acute or chronic, without haemorrhage or perforation;;1
K27.0;Peptic ulcer, site unspecified - Acute with haemorrhage;;1
K27.1;Peptic ulcer, site unspecified - Acute with perforation;;1
K27.2;Peptic ulcer, site unspecified - Acute with both haemorrhage and perforation;;1
K27.3;Peptic ulcer, site unspecified - Acute without haemorrhage or perforation;;1
K27.4;Peptic ulcer, site unspecified - Chronic or unspecified with haemorrhage;;1
K27.5;Peptic ulcer, site unspecified - Chronic or unspecified with perforation;;1
K27.6;Peptic ulcer, site unspecified - Chronic or unspecified with both haemorrhage and perforation;;1
K27.7;Peptic ulcer, site unspecified - Chronic without haemorrhage or perforation;;1
K27.9;Peptic ulcer, site unspecified - Unspecified as acute or chronic, without haemorrhage or perforation;;1
K28.0;Gastrojejunal ulcer - Acute with haemorrhage;;1
K28.1;Gastrojejunal ulcer - Acute with perforation;;1
K28.2;Gastrojejunal ulcer - Acute with both haemorrhage and perforation;;1
K28.3;Gastrojejunal ulcer - Acute without haemorrhage or perforation;;1
K28.4;Gastrojejunal ulcer - Chronic or unspecified with haemorrhage;;1
K28.5;Gastrojejunal ulcer - Chronic or unspecified with perforation;;1
K28.6;Gastrojejunal ulcer - Chronic or unspecified with both haemorrhage and perforation;;1
K28.7;Gastrojejunal ulcer - Chronic without haemorrhage or perforation;;1
K28.9;Gastrojejunal ulcer - Unspecified as acute or chronic, without haemorrhage or perforation;;1
K29.0;Acute haemorrhagic gastritis;;1
K29.1;Other acute gastritis;;1
K29.2;Alcoholic gastritis;;1
K29.3;Chronic superficial gastritis;;1
K29.4;Chronic atrophic gastritis;;1
K29.5;Chronic gastritis, unspecified;;1
K29.6;Other gastritis;;1
K29.7;Gastritis, unspecified;;1
K29.8;Duodenitis;;1
K29.9;Gastroduodenitis, unspecified;;1
K30;Dyspepsia;;1
K31.0;Acute dilatation of stomach;;1
K31.1;Adult hypertrophic pyloric stenosis;;1
K31.2;Hourglass stricture and stenosis of stomach;;1
K31.3;Pylorospasm, not elsewhere classified;;1
K31.4;Gastric diverticulum;;1
K31.5;Obstruction of duodenum;;1
K31.6;Fistula of stomach and duodenum;;1
K31.7;Polyp of stomach and duodenum;;1
K31.8;Other specified diseases of stomach and duodenum;;1
K31.9;Disease of stomach and duodenum, unspecified;;1
K35.2;Acute appendicitis with generalized peritonitis;;1
K35.3;Acute appendicitis with localized peritonitis;;1
K35.8;Acute appendicitis, other and unspecified;;1
K36;Other appendicitis;;1
K37;Unspecified appendicitis;;1
K38.0;Hyperplasia of appendix;;1
K38.1;Appendicular concretions;;1
K38.2;Diverticulum of appendix;;1
K38.3;Fistula of appendix;;1
K38.8;Other specified diseases of appendix;;1
K38.9;Disease of appendix, unspecified;;1
K40.0;Bilateral inguinal hernia, with obstruction, without gangrene;;1
K40.1;Bilateral inguinal hernia, with gangrene;;1
K40.2;Bilateral inguinal hernia, without obstruction or gangrene;;1
K40.3;Unilateral or unspecified inguinal hernia, with obstruction, without gangrene;;1
K40.4;Unilateral or unspecified inguinal hernia, with gangrene;;1
K40.9;Unilateral or unspecified inguinal hernia, without obstruction or gangrene;;1
K41.0;Bilateral femoral hernia, with obstruction, without gangrene;;1
K41.1;Bilateral femoral hernia, with gangrene;;1
K41.2;Bilateral femoral hernia, without obstruction or gangrene;;1
K41.3;Unilateral or unspecified femoral hernia, with obstruction, without gangrene;;1
K41.4;Unilateral or unspecified femoral hernia, with gangrene;;1
K41.9;Unilateral or unspecified femoral hernia, without obstruction or gangrene;;1
K42.0;Umbilical hernia with obstruction, without gangrene;;1
K42.1;Umbilical hernia with gangrene;;1
K42.9;Umbilical hernia without obstruction or gangrene;;1
K43.0;Ventral hernia with obstruction, without gangrene;;1
K43.1;Ventral hernia with gangrene;;1
K43.9;Ventral hernia without obstruction or gangrene;;1
K44.0;Diaphragmatic hernia with obstruction, without gangrene;;1
K44.1;Diaphragmatic hernia with gangrene;;1
K44.9;Diaphragmatic hernia without obstruction or gangrene;;1
K45.0;Other specified abdominal hernia with obstruction, without gangrene;;1
K45.1;Other specified abdominal hernia with gangrene;;1
K45.8;Other specified abdominal hernia without obstruction or gangrene;;1
K46.0;Unspecified abdominal hernia with obstruction, without gangrene;;1
K46.1;Unspecified abdominal hernia with gangrene;;1
K46.9;Unspecified abdominal hernia without obstruction or gangrene;;1
K50.0;Crohn's disease of small intestine;;1
K50.1;Crohn's disease of large intestine;;1
K50.8;Other Crohn's disease;;1
K50.9;Crohn's disease, unspecified;;1
K51.0;Ulcerative (chronic) pancolitis;;1
K51.2;Ulcerative (chronic) proctitis;;1
K51.3;Ulcerative (chronic) rectosigmoiditis;;1
K51.4;Inflammatory polyps;;1
K51.5;Left sided colitis;;1
K51.8;Other ulcerative colitis;;1
K51.9;Ulcerative colitis, unspecified;;1
K52.0;Gastroenteritis and colitis due to radiation;;1
K52.1;Toxic gastroenteritis and colitis;;1
K52.2;Allergic and dietetic gastroenteritis and colitis;;1
K52.3;Indeterminate colitis;;1
K52.8;Other specified noninfective gastroenteritis and colitis;;1
K52.9;Noninfective gastroenteritis and colitis, unspecified;;1
K55.0;Acute vascular disorders of intestine;;1
K55.1;Chronic vascular disorders of intestine;;1
K55.2;Angiodysplasia of colon;;1
K55.8;Other vascular disorders of intestine;;1
K55.9;Vascular disorder of intestine, unspecified;;1
K56.0;Paralytic ileus;;1
K56.1;Intussusception;;1
K56.2;Volvulus;;1
K56.3;Gallstone ileus;;1
K56.4;Other impaction of intestine;;1
K56.5;Intestinal adhesions [ bands ] with obstruction;;1
K56.6;Other and unspecified intestinal obstruction;;1
K56.7;Ileus, unspecified;;1
K57.0;Diverticular disease of small intestine with perforation and abscess;;1
K57.1;Diverticular disease of small intestine without perforation or abscess;;1
K57.2;Diverticular disease of large intestine with perforation and abscess;;1
K57.3;Diverticular disease of large intestine without perforation or abscess;;1
K57.4;Diverticular disease of both small and large intestine with perforation and abscess;;1
K57.5;Diverticular disease of both small and large intestine without perforation or abscess;;1
K57.8;Diverticular disease of intestine, part unspecified, with perforation and abscess;;1
K57.9;Diverticular disease of intestine, part unspecified, without perforation or abscess;;1
K58.0;Irritable bowel syndrome with diarrhoea;;1
K58.9;Irritable bowel syndrome without diarrhoea;;1
K59.0;Constipation;;1
K59.1;Functional diarrhoea;;1
K59.2;Neurogenic bowel, not elsewhere classified;;1
K59.3;Megacolon, not elsewhere classified;;1
K59.4;Anal spasm;;1
K59.8;Other specified functional intestinal disorders;;1
K59.9;Functional intestinal disorder, unspecified;;1
K60.0;Acute anal fissure;;1
K60.1;Chronic anal fissure;;1
K60.2;Anal fissure, unspecified;;1
K60.3;Anal fistula;;1
K60.4;Rectal fistula;;1
K60.5;Anorectal fistula;;1
K61.0;Anal abscess;;1
K61.1;Rectal abscess;;1
K61.2;Anorectal abscess;;1
K61.3;Ischiorectal abscess;;1
K61.4;Intrasphincteric abscess;;1
K62.0;Anal polyp;;1
K62.1;Rectal polyp;;1
K62.2;Anal prolapse;;1
K62.3;Rectal prolapse;;1
K62.4;Stenosis of anus and rectum;;1
K62.5;Haemorrhage of anus and rectum;;1
K62.6;Ulcer of anus and rectum;;1
K62.7;Radiation proctitis;;1
K62.8;Other specified diseases of anus and rectum;;1
K62.9;Disease of anus and rectum, unspecified;;1
K63.0;Abscess of intestine;;1
K63.1;Perforation of intestine (nontraumatic);;1
K63.2;Fistula of intestine;;1
K63.3;Ulcer of intestine;;1
K63.4;Enteroptosis;;1
K63.5;Polyp of colon;;1
K63.8;Other specified diseases of intestine;;1
K63.9;Disease of intestine, unspecified;;1
K65.0;Acute peritonitis;;1
K65.8;Other peritonitis;;1
K65.9;Peritonitis, unspecified;;1
K66.0;Peritoneal adhesions;;1
K66.1;Haemoperitoneum;;1
K66.8;Other specified disorders of peritoneum;;1
K66.9;Disorder of peritoneum, unspecified;;1
K67.0;Chlamydial peritonitis (A74.8+);;1
K67.1;Gonococcal peritonitis (A54.8+);;1
K67.2;Early congenital syphilis, symptomatic (A52.7+);;1
K67.3;Tuberculous peritonitis (A18.3+);;1
K67.8;Other disorders of peritoneum in infectious diseases classified elsewhere;;1
K70.0;Alcoholic fatty liver;;1
K70.1;Alcoholic hepatitis;;1
K70.2;Alcoholic fibrosis and sclerosis of liver;;1
K70.3;Alcoholic cirrhosis of liver;;1
K70.4;Alcoholic hepatic failure;;1
K70.9;Alcoholic liver disease, unspecified;;1
K71.0;Toxic liver disease with cholestasis;;1
K71.1;Toxic liver disease with hepatic necrosis;;1
K71.2;Toxic liver disease with acute hepatitis;;1
K71.3;Toxic liver disease with chronic persistent hepatitis;;1
K71.4;Toxic liver disease with chronic lobular hepatitis;;1
K71.5;Toxic liver disease with chronic active hepatitis;;1
K71.6;Toxic liver disease with hepatitis, not elsewhere classified;;1
K71.7;Toxic liver disease with fibrosis and cirrhosis of liver;;1
K71.8;Toxic liver disease with other disorders of liver;;1
K71.9;Toxic liver disease, unspecified;;1
K72.0;Acute and subacute hepatic failure;;1
K72.1;Chronic hepatic failure;;1
K72.9;Hepatic failure, unspecified;;1
K73.0;Chronic persistent hepatitis, not elsewhere classified;;1
K73.1;Chronic lobular hepatitis, not elsewhere classified;;1
K73.2;Chronic active hepatitis, not elsewhere classified;;1
K73.8;Other chronic hepatitis, not elsewhere classified;;1
K73.9;Chronic hepatitis, unspecified;;1
K74.0;Hepatic fibrosis;;1
K74.1;Hepatic sclerosis;;1
K74.2;Hepatic fibrosis with hepatic sclerosis;;1
K74.3;Primary biliary cirrhosis;;1
K74.4;Secondary biliary cirrhosis;;1
K74.5;Biliary cirrhosis, unspecified;;1
K74.6;Other and unspecified cirrhosis of liver;;1
K75.0;Abscess of liver;;1
K75.1;Phlebitis of portal vein;;1
K75.2;Nonspecific reactive hepatitis;;1
K75.3;Granulomatous hepatitis, not elsewhere classified;;1
K75.4;Autoimmune hepatitis;;1
K75.8;Other specified inflammatory liver diseases;;1
K75.9;Inflammatory liver disease, unspecified;;1
K76.0;Fatty (change of) liver, not elsewhere classified;;1
K76.1;Chronic passive congestion of liver;;1
K76.2;Central haemorrhagic necrosis of liver;;1
K76.3;Infarction of liver;;1
K76.4;Peliosis hepatis;;1
K76.5;Hepatic veno-occlusive disease;;1
K76.6;Portal hypertension;;1
K76.7;Hepatorenal syndrome;;1
K76.8;Other specified diseases of liver;;1
K76.9;Liver disease, unspecified;;1
K77.0;Liver disorders in infectious and parasitic diseases classified elsewhere;;1
K77.8;Liver disorders in other diseases classified elsewhere;;1
K80.0;Calculus of gallbladder with acute cholecystitis;;1
K80.1;Calculus of gallbladder with other cholecystitis;;1
K80.2;Calculus of gallbladder without cholecystitis;;1
K80.3;Calculus of bile duct with cholangitis;;1
K80.4;Calculus of bile duct with cholecystitis;;1
K80.5;Calculus of bile duct without cholangitis or cholecystitis;;1
K80.8;Other cholelithiasis;;1
K81.0;Acute cholecystitis;;1
K81.1;Chronic cholecystitis;;1
K81.8;Other cholecystitis;;1
K81.9;Cholecystitis, unspecified;;1
K82.0;Obstruction of gallbladder;;1
K82.1;Hydrops of gallbladder;;1
K82.2;Perforation of gallbladder;;1
K82.3;Fistula of gallbladder;;1
K82.4;Cholesterolosis of gallbladder;;1
K82.8;Other specified diseases of gallbladder;;1
K82.9;Disease of gallbladder, unspecified;;1
K83.0;Cholangitis;;1
K83.1;Obstruction of bile duct;;1
K83.2;Perforation of bile duct;;1
K83.3;Fistula of bile duct;;1
K83.4;Spasm of sphincter of Oddi;;1
K83.5;Biliary cyst;;1
K83.8;Other specified diseases of biliary tract;;1
K83.9;Disease of biliary tract, unspecified;;1
K85.0;Idiopathic acute pancreatitis;;1
K85.1;Biliary acute pancreatitis;;1
K85.2;Alcohol-induced acute pancreatitis;;1
K85.3;Drug-induced acute pancreatitis;;1
K85.8;Other acute pancreatitis;;1
K85.9;Acute pancreatitis, unspecified;;1
K86.0;Alcohol-induced chronic pancreatitis;;1
K86.1;Other chronic pancreatitis;;1
K86.2;Cyst of pancreas;;1
K86.3;Pseudocyst of pancreas;;1
K86.8;Other specified diseases of pancreas;;1
K86.9;Disease of pancreas, unspecified;;1
K87.0;Disorders of gallbladder and biliary tract in diseases classified elsewhere;;1
K87.1;Disorders of pancreas in diseases classified elsewhere;;1
K90.0;Coeliac disease;;1
K90.1;Tropical sprue;;1
K90.2;Blind loop syndrome, not elsewhere classified;;1
K90.3;Pancreatic steatorrhoea;;1
K90.4;Malabsorption due to intolerance, not elsewhere classified;;1
K90.8;Other intestinal malabsorption;;1
K90.9;Intestinal malabsorption, unspecified;;1
K91.0;Vomiting following gastrointestinal surgery;;1
K91.1;Postgastric surgery syndromes;;1
K91.2;Postsurgical malabsorption, not elsewhere classified;;1
K91.3;Postoperative intestinal obstruction;;1
K91.4;Colostomy and enterostomy malfunction;;1
K91.5;Postcholecystectomy syndrome;;1
K91.8;Other postprocedural disorders of digestive system, not elsewhere classified;;1
K91.9;Postprocedural disorder of digestive system, unspecified;;1
K92.0;Haematemesis;;1
K92.1;Melaena;;1
K92.2;Gastrointestinal haemorrhage, unspecified;;1
K92.8;Other specified diseases of digestive system;;1
K92.9;Disease of digestive system, unspecified;;1
K93.0;Tuberculous disorders of intestines, peritoneum and mesenteric glands (A18.3+);;1
K93.1;Megacolon in Chagas' disease (B57.3+);;1
K93.8;Disorders of other specified digestive organs in diseases classified elsewhere;;1
L00;Staphylococcal scalded skin syndrome;;1
L01.0;Impetigo [ any organism ] [ any site ];;1
L01.1;Impetiginization of other dermatoses;;1
L02.0;Cutaneous abscess, furuncle and carbuncle of face;;1
L02.1;Cutaneous abscess, furuncle and carbuncle of neck;;1
L02.2;Cutaneous abscess, furuncle and carbuncle of trunk;;1
L02.3;Cutaneous abscess, furuncle and carbuncle of buttock;;1
L02.4;Cutaneous abscess, furuncle and carbuncle of limb;;1
L02.8;Cutaneous abscess, furuncle and carbuncle of other sites;;1
L02.9;Cutaneous abscess, furuncle and carbuncle, unspecified;;1
L03.0;Cellulitis of finger and toe;;1
L03.1;Cellulitis of other parts of limb;;1
L03.2;Cellulitis of face;;1
L03.3;Cellulitis of trunk;;1
L03.8;Cellulitis of other sites;;1
L03.9;Cellulitis, unspecified;;1
L04.0;Acute lymphadenitis of face, head and neck;;1
L04.1;Acute lymphadenitis of trunk;;1
L04.2;Acute lymphadenitis of upper limb;;1
L04.3;Acute lymphadenitis of lower limb;;1
L04.8;Acute lymphadenitis of other sites;;1
L04.9;Acute lymphadenitis, unspecified;;1
L05.0;Pilonidal cyst with abscess;;1
L05.9;Pilonidal cyst without abscess;;1
L08.0;Pyoderma;;1
L08.1;Erythrasma;;1
L08.8;Other specified local infections of skin and subcutaneous tissue;;1
L08.9;Local infection of skin and subcutaneous tissue, unspecified;;1
L10.0;Pemphigus vulgaris;;1
L10.1;Pemphigus vegetans;;1
L10.2;Pemphigus foliaceus;;1
L10.3;Brazilian pemphigus [fogo selvagem];;1
L10.4;Pemphigus erythematosus;;1
L10.5;Drug-induced pemphigus;;1
L10.8;Other pemphigus;;1
L10.9;Pemphigus, unspecified;;1
L11.0;Acquired keratosis follicularis;;1
L11.1;Transient acantholytic dermatosis [Grover];;1
L11.8;Other specified acantholytic disorders;;1
L11.9;Acantholytic disorder, unspecified;;1
L12.0;Bullous pemphigoid;;1
L12.1;Cicatricial pemphigoid;;1
L12.2;Chronic bullous disease of childhood;;1
L12.3;Acquired epidermolysis bullosa;;1
L12.8;Other pemphigoid;;1
L12.9;Pemphigoid, unspecified;;1
L13.0;Dermatitis herpetiformis;;1
L13.1;Subcorneal pustular dermatitis;;1
L13.8;Other specified bullous disorders;;1
L13.9;Bullous disorder, unspecified;;1
L14;Bullous disorders in diseases classified elsewhere;;1
L20.0;Besnier's prurigo;;1
L20.8;Other atopic dermatitis;;1
L20.9;Atopic dermatitis, unspecified;;1
L21.0;Seborrhoea capitis;;1
L21.1;Seborrhoeic infantile dermatitis;;1
L21.8;Other seborrhoeic dermatitis;;1
L21.9;Seborrhoeic dermatitis, unspecified;;1
L22;Diaper [napkin] dermatitis;;1
L23.0;Allergic contact dermatitis due to metals;;1
L23.1;Allergic contact dermatitis due to adhesives;;1
L23.2;Allergic contact dermatitis due to cosmetics;;1
L23.3;Allergic contact dermatitis due to drugs in contact with skin;;1
L23.4;Allergic contact dermatitis due to dyes;;1
L23.5;Allergic contact dermatitis due to other chemical products;;1
L23.6;Allergic contact dermatitis due to food in contact with skin;;1
L23.7;Allergic contact dermatitis due to plants, except food;;1
L23.8;Allergic contact dermatitis due to other agents;;1
L23.9;Allergic contact dermatitis, unspecified cause;;1
L24.0;Irritant contact dermatitis due to detergents;;1
L24.1;Irritant contact dermatitis due to oils and greases;;1
L24.2;Irritant contact dermatitis due to solvents;;1
L24.3;Irritant contact dermatitis due to cosmetics;;1
L24.4;Irritant contact dermatitis due to drugs in contact with skin;;1
L24.5;Irritant contact dermatitis due to other chemical products;;1
L24.6;Irritant contact dermatitis due to food in contact with skin;;1
L24.7;Irritant contact dermatitis due to plants, except food;;1
L24.8;Irritant contact dermatitis due to other agents;;1
L24.9;Irritant contact dermatitis, unspecified cause;;1
L25.0;Unspecified contact dermatitis due to cosmetics;;1
L25.1;Unspecified contact dermatitis due to drugs in contact with skin;;1
L25.2;Unspecified contact dermatitis due to dyes;;1
L25.3;Unspecified contact dermatitis due to other chemical products;;1
L25.4;Unspecified contact dermatitis due to food in contact with skin;;1
L25.5;Unspecified contact dermatitis due to plants, except food;;1
L25.8;Unspecified contact dermatitis due to other agents;;1
L25.9;Unspecified contact dermatitis, unspecified cause;;1
L26;Exfoliative dermatitis;;1
L27.0;Generalized skin eruption due to drugs and medicaments;;1
L27.1;Localized skin eruption due to drugs and medicaments;;1
L27.2;Dermatitis due to ingested food;;1
L27.8;Dermatitis due to other substances taken internally;;1
L27.9;Dermatitis due to unspecified substance taken internally;;1
L28.0;Lichen simplex chronicus;;1
L28.1;Prurigo nodularis;;1
L28.2;Other prurigo;;1
L29.0;Pruritus ani;;1
L29.1;Pruritus scroti;;1
L29.2;Pruritus vulvae;;1
L29.3;Anogenital pruritus, unspecified;;1
L29.8;Other pruritus;;1
L29.9;Pruritus, unspecified;;1
L30.0;Nummular dermatitis;;1
L30.1;Dyshidrosis [pompholyx];;1
L30.2;Cutaneous autosensitization;;1
L30.3;Infective dermatitis;;1
L30.4;Erythema intertrigo;;1
L30.5;Pityriasis alba;;1
L30.8;Other specified dermatitis;;1
L30.9;Dermatitis, unspecified;;1
L40.0;Psoriasis vulgaris;;1
L40.1;Generalized pustular psoriasis;;1
L40.2;Acrodermatitis continua;;1
L40.3;Pustulosis palmaris et plantaris;;1
L40.4;Guttate psoriasis;;1
L40.5;Arthropathic psoriasis (M07.0-M07.3*, M09.0*);;1
L40.8;Other psoriasis;;1
L40.9;Psoriasis, unspecified;;1
L41.0;Pityriasis lichenoides et varioliformis acuta;;1
L41.1;Pityriasis lichenoides chronica;;1
L41.2;Lymphomatoid papulosis;;1
L41.3;Small plaque parapsoriasis;;1
L41.4;Large plaque parapsoriasis;;1
L41.5;Retiform parapsoriasis;;1
L41.8;Other parapsoriasis;;1
L41.9;Parapsoriasis, unspecified;;1
L42;Pityriasis rosea;;1
L43.0;Hypertrophic lichen planus;;1
L43.1;Bullous lichen planus;;1
L43.2;Lichenoid drug reaction;;1
L43.3;Subacute (active) lichen planus;;1
L43.8;Other lichen planus;;1
L43.9;Lichen planus, unspecified;;1
L44.0;Pityriasis rubra pilaris;;1
L44.1;Lichen nitidus;;1
L44.2;Lichen striatus;;1
L44.3;Lichen ruber moniliformis;;1
L44.4;Infantile papular acrodermatitis [Giannotti-Crosti];;1
L44.8;Other specified papulosquamous disorders;;1
L44.9;Papulosquamous disorder, unspecified;;1
L45;Papulosquamous disorders in diseases classified elsewhere;;1
L50.0;Allergic urticaria;;1
L50.1;Idiopathic urticaria;;1
L50.2;Urticaria due to cold and heat;;1
L50.3;Dermatographic urticaria;;1
L50.4;Vibratory urticaria;;1
L50.5;Cholinergic urticaria;;1
L50.6;Contact urticaria;;1
L50.8;Other urticaria;;1
L50.9;Urticaria, unspecified;;1
L51.0;Nonbullous erythema multiforme;;1
L51.1;Bullous erythema multiforme;;1
L51.2;Toxic epidermal necrolysis [Lyell];;1
L51.8;Other erythema multiforme;;1
L51.9;Erythema multiforme, unspecified;;1
L52;Erythema nodosum;;1
L53.0;Toxic erythema;;1
L53.1;Erythema annulare centrifugum;;1
L53.2;Erythema marginatum;;1
L53.3;Other chronic figurate erythema;;1
L53.8;Other specified erythematous conditions;;1
L53.9;Erythematous condition, unspecified;;1
L54.0;Erythema marginatum in acute rheumatic fever (I00+);;1
L54.8;Erythema in other diseases classified elsewhere;;1
L55.0;Sunburn of first degree;;1
L55.1;Sunburn of second degree;;1
L55.2;Sunburn of third degree;;1
L55.8;Other sunburn;;1
L55.9;Sunburn, unspecified;;1
L56.0;Drug phototoxic response;;1
L56.1;Drug photoallergic response;;1
L56.2;Photocontact dermatitis [ berloque dermatitis ];;1
L56.3;Solar urticaria;;1
L56.4;Polymorphous light eruption;;1
L56.8;Other specified acute skin changes due to ultraviolet radiation;;1
L56.9;Acute skin change due to ultraviolet radiation, unspecified;;1
L57.0;Actinic keratosis;;1
L57.1;Actinic reticuloid;;1
L57.2;Cutis rhomboidalis nuchae;;1
L57.3;Poikiloderma of Civatte;;1
L57.4;Cutis laxa senilis;;1
L57.5;Actinic granuloma;;1
L57.8;Other skin changes due to chronic exposure to nonionizing radiation;;1
L57.9;Skin changes due to chronic exposure to nonionizing radiation, unspecified;;1
L58.0;Acute radiodermatitis;;1
L58.1;Chronic radiodermatitis;;1
L58.9;Radiodermatitis, unspecified;;1
L59.0;Erythema ab igne [dermatitis ab igne];;1
L59.8;Other specified disorders of skin and subcutaneous tissue related to radiation;;1
L59.9;Disorder of skin and subcutaneous tissue related to radiation, unspecified;;1
L60.0;Ingrowing nail;;1
L60.1;Onycholysis;;1
L60.2;Onychogryphosis;;1
L60.3;Nail dystrophy;;1
L60.4;Beau's lines;;1
L60.5;Yellow nail syndrome;;1
L60.8;Other nail disorders;;1
L60.9;Nail disorder, unspecified;;1
L62.0;Clubbed nail pachydermoperiostosis (M89.4+);;1
L62.8;Nail disorders in other diseases classified elsewhere;;1
L63.0;Alopecia (capitis) totalis;;1
L63.1;Alopecia universalis;;1
L63.2;Ophiasis;;1
L63.8;Other alopecia areata;;1
L63.9;Alopecia areata, unspecified;;1
L64.0;Drug-induced androgenic alopecia;;1
L64.8;Other androgenic alopecia;;1
L64.9;Androgenic alopecia, unspecified;;1
L65.0;Telogen effluvium;;1
L65.1;Anagen effluvium;;1
L65.2;Alopecia mucinosa;;1
L65.8;Other specified nonscarring hair loss;;1
L65.9;Nonscarring hair loss, unspecified;;1
L66.0;Pseudopelade;;1
L66.1;Lichen planopilaris;;1
L66.2;Folliculitis decalvans;;1
L66.3;Perifolliculitis capitis abscedens;;1
L66.4;Folliculitis ulerythematosa reticulata;;1
L66.8;Other cicatricial alopecia;;1
L66.9;Cicatricial alopecia, unspecified;;1
L67.0;Trichorrhexis nodosa;;1
L67.1;Variations in hair colour;;1
L67.8;Other hair colour and hair shaft abnormalities;;1
L67.9;Hair colour and hair shaft abnormality, unspecified;;1
L68.0;Hirsutism;;1
L68.1;Acquired hypertrichosis lanuginosa;;1
L68.2;Localized hypertrichosis;;1
L68.3;Polytrichia;;1
L68.8;Other hypertrichosis;;1
L68.9;Hypertrichosis, unspecified;;1
L70.0;Acne vulgaris;;1
L70.1;Acne conglobata;;1
L70.2;Acne varioliformis;;1
L70.3;Acne tropica;;1
L70.4;Infantile acne;;1
L70.5;Acné excoriée des jeunes filles;;1
L70.8;Other acne;;1
L70.9;Acne, unspecified;;1
L71.0;Perioral dermatitis;;1
L71.1;Rhinophyma;;1
L71.8;Other rosacea;;1
L71.9;Rosacea, unspecified;;1
L72.0;Epidermal cyst;;1
L72.1;Trichilemmal cyst;;1
L72.2;Steatocystoma multiplex;;1
L72.8;Other follicular cysts of skin and subcutaneous tissue;;1
L72.9;Follicular cyst of skin and subcutaneous tissue, unspecified;;1
L73.0;Acne keloid;;1
L73.1;Pseudofolliculitis barbae;;1
L73.2;Hidradenitis suppurativa;;1
L73.8;Other specified follicular disorders;;1
L73.9;Follicular disorder, unspecified;;1
L74.0;Miliaria rubra;;1
L74.1;Miliaria crystallina;;1
L74.2;Miliaria profunda;;1
L74.3;Miliaria, unspecified;;1
L74.4;Anhidrosis;;1
L74.8;Other eccrine sweat disorders;;1
L74.9;Eccrine sweat disorder, unspecified;;1
L75.0;Bromhidrosis;;1
L75.1;Chromhidrosis;;1
L75.2;Apocrine miliaria;;1
L75.8;Other apocrine sweat disorders;;1
L75.9;Apocrine sweat disorder, unspecified;;1
L80;Vitiligo;;1
L81.0;Postinflammatory hyperpigmentation;;1
L81.1;Chloasma;;1
L81.2;Freckles;;1
L81.3;Café au lait spots;;1
L81.4;Other melanin hyperpigmentation;;1
L81.5;Leukoderma, not elsewhere classified;;1
L81.6;Other disorders of diminished melanin formation;;1
L81.7;Pigmented purpuric dermatosis;;1
L81.8;Other specified disorders of pigmentation;;1
L81.9;Disorder of pigmentation, unspecified;;1
L82;Seborrhoeic keratosis;;1
L83;Acanthosis nigricans;;1
L84;Corns and callosities;;1
L85.0;Acquired ichthyosis;;1
L85.1;Acquired keratosis [keratoderma] palmaris et plantaris;;1
L85.2;Keratosis punctata (palmaris et plantaris);;1
L85.3;Xerosis cutis;;1
L85.8;Other specified epidermal thickening;;1
L85.9;Epidermal thickening, unspecified;;1
L86;Keratoderma in diseases classified elsewhere;;1
L87.0;Keratosis follicularis et parafollicularis in cutem penetrans [Kyrle];;1
L87.1;Reactive perforating collagenosis;;1
L87.2;Elastosis perforans serpiginosa;;1
L87.8;Other transepidermal elimination disorders;;1
L87.9;Transepidermal elimination disorder, unspecified;;1
L88;Pyoderma gangrenosum;;1
L89;Decubitus ulcer and pressure area;;1
L89.0;Stage I decubitus ulcer and pressure area;;1
L89.1;Stage II decubitus ulcer;;1
L89.2;Stage III decubitus ulcer;;1
L89.3;Stage IV decubitus ulcer;;1
L89.9;Decubitus ulcer and pressure area, unspecified;;1
L90.0;Lichen sclerosus et atrophicus;;1
L90.1;Anetoderma of Schweninger-Buzzi;;1
L90.2;Anetoderma of Jadassohn-Pellizzari;;1
L90.3;Atrophoderma of Pasini and Pierini;;1
L90.4;Acrodermatitis chronica atrophicans;;1
L90.5;Scar conditions and fibrosis of skin;;1
L90.6;Striae atrophicae;;1
L90.8;Other atrophic disorders of skin;;1
L90.9;Atrophic disorder of skin, unspecified;;1
L91.0;Hypertrophic scar;;1
L91.8;Other hypertrophic disorders of skin;;1
L91.9;Hypertrophic disorder of skin, unspecified;;1
L92.0;Granuloma annulare;;1
L92.1;Necrobiosis lipoidica, not elsewhere classified;;1
L92.2;Granuloma faciale [eosinophilic granuloma of skin];;1
L92.3;Foreign body granuloma of skin and subcutaneous tissue;;1
L92.8;Other granulomatous disorders of skin and subcutaneous tissue;;1
L92.9;Granulomatous disorder of skin and subcutaneous tissue, unspecified;;1
L93.0;Discoid lupus erythematosus;;1
L93.1;Subacute cutaneous lupus erythematosus;;1
L93.2;Other local lupus erythematosus;;1
L94.0;Localized scleroderma [morphea];;1
